case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,mean_vd_ref_v,mean_vq_ref_v,mean_v_dq_mag_v,mean_modulation_ratio,max_modulation_ratio,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case001_500rpm_0.5A,500,0.5,0.0943507861815883,499.939377688567,2.52994913732213e-05,0.498079516426137,0.499089837838471,0.797734076552238,5.47837593163065,5.97515961771609,0.0878699943781777,0.144619442323772,4.93959663998777,0.407314799394142,0.274089202034672,0.496783686085434,-0.30051123926908,7.05041179591724,7.05961675700128,0.179927025104528,0.284258872982622,90.1653464755473,82.6688650348701,-0.0121244622866318,-0.00091016216152856,1,0.95
case002_500rpm_1A,500,1,0.19393756011916,499.93937539226,2.52280008420942e-05,0.998101239138228,0.999111243985799,1.00569305173764,10.9312201201791,11.6014104933331,0.170608977843134,0.19643517876711,10.1533156712459,0.647358420086276,0.274089199516795,0.670190373154002,-0.373340729708492,7.154757547445,7.16739035336056,0.182673828967289,0.286970704066798,92.8836448229853,87.5179416940776,-0.0121249215480751,-0.000888756014201353,1,0.95
case003_500rpm_2A,500,2,0.393111107994302,499.939370666339,2.50848766991974e-05,1.99814468455503,1.99915405610693,1.58451350624435,22.3169451938417,23.5077117285984,0.345701643067624,0.35010945631361,20.5807535845894,1.60696268709387,0.274089194334871,1.1907665347567,-0.518999707998865,7.36344904952333,7.3848481915112,0.188216132926679,0.292426253972148,92.2202989962469,87.5489448832732,-0.0121258667321996,-0.000845943893067913,1,0.95
case004_500rpm_3A,500,3,0.592284655869445,499.939366204225,2.49415614333239e-05,2.99818812994989,2.99919686798329,2.23824132666034,34.3427194525095,36.152031680667,0.531647524715691,0.53213775455517,31.0081913171543,3.20647399748876,0.27408918944221,1.80931222815744,-0.66465868211,7.57214055512985,7.60465917050232,0.193818410910957,0.297922372575141,90.290436550995,85.7716423548517,-0.0121267591549014,-0.000803132016712116,1,0.95
case005_500rpm_4A,500,4,0.791458203744587,499.939361609549,2.47980550435305e-05,3.9982315753428,3.99923967963505,2.91697461825159,47.0085433041099,49.4826771622209,0.72768642885619,0.72768642885619,41.435628852596,5.44601962810156,0.274089184404194,2.47413385811105,-0.810317655877022,7.78083205850054,7.82661331306151,0.19947531127183,0.303456855651683,88.1448901416466,83.7376456345642,-0.0121276780902321,-0.000760320364947997,1,0.95
case006_500rpm_5A,500,5,0.99063175161973,499.939357014593,2.46543574006531e-05,4.99827502069121,4.99928249101938,3.60662521177834,60.3144162285981,63.488859187998,0.933659693941147,0.933659693941147,51.8630661963428,8.32560745494143,0.274089179365872,3.17444295939991,-0.955976618634922,7.98952356244948,8.05052409206317,0.205182080030155,0.30902764202033,85.9878440997857,81.6884518947964,-0.012128597081432,-0.000717508980617509,1,0.95
case007_500rpm_6A,500,6,1.18980529949487,499.939352286534,2.45104685975192e-05,5.99831846602551,5.99932530216724,4.30194516035294,74.2603375111952,78.1687763275739,1.14954082834668,1.14954082834668,62.2905033318277,11.8452339207259,0.274089174181605,3.90843881637868,-1.10163558785171,8.19821506495534,8.27622535821617,0.21093448257254,0.314632803439664,83.8812553503908,79.6871925828712,-0.0121295426931044,-0.000674697832764082,1,0.95
case008_500rpm_7A,500,7,1.38897884737002,499.939347824016,2.43663880272425e-05,6.99836191132048,6.99936811305106,5.00056915387875,88.8463066801801,93.5224280844002,1.37532982477059,1.37532982477059,72.7179403087063,16.0048930767363,0.274089169288499,4.67612140422005,-1.24729455045913,8.40690657091871,8.50356872187726,0.216728736922144,0.320270535106513,81.8468915882671,77.7545470088537,-0.0121304351967535,-0.0006318869489359,1,0.95
case009_500rpm_8A,500,8,1.58815239524516,499.93934323106,2.42221156096488e-05,7.99840535657189,7.99941092366646,5.70128263634448,104.072324541654,109.549815307004,1.61102669569124,1.61102669569124,83.1453770777384,20.8045843988542,0.27408916425237,5.4774907653502,-1.39295351449194,8.61559807396598,8.73242132112528,0.222561456854044,0.325939146992845,79.8919188592355,75.8973229162737,-0.0121313537879939,-0.000589076333542771,1,0.95
case010_500rpm_9A,500,9,1.7873259431203,499.939338511156,2.40776505343683e-05,8.99844880162417,8.99945373385465,6.40340001868138,119.93839186913,126.250938809611,1.85663145308251,1.85663145308251,93.572813631416,26.2443105281092,0.274089159077045,6.3125469404805,-1.53861246710541,8.82428957688543,8.96266387811312,0.228429602357863,0.331637055612307,78.0173989105315,74.116528965005,-0.0121322977687119,-0.000546266145345697,1,0.95
case011_500rpm_10A,500,10,1.98649949099544,499.939334068165,2.393299105971e-05,9.9984922463868,9.99949654351812,7.10650455867534,136.444507875443,143.625797763625,2.11214408475918,2.11214408475918,104.000250045808,32.3240656275351,0.27408915420535,7.18128988818134,-1.68427142429865,9.03298108316691,9.19418908008307,0.23433043837504,0.337362776465377,76.221646195351,72.4105638855834,-0.0121331863670673,-0.000503456481878217,1,0.95
case012_500rpm_12A,500,12,2.38484658674573,499.939325140637,2.3643049499842e-05,11.9985791308307,11.9995821568949,8.51469673849487,171.376887594566,180.396723783754,2.65289299681991,2.65289299681991,124.855122308202,46.40366375409,0.274089144416409,9.01983618918749,-1.97558932349999,9.45036409445241,9.66070949239519,0.246220549811275,0.348892170865756,72.8541193976968,69.211413427812,-0.0121349718725471,-0.000417843105134708,1,0.95
