case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case001_500rpm_0.5A,500,0.5,0.0943507861815883,499.939377688563,2.52994913730549e-05,0.498079516426103,0.499089837838445,0.797734076552473,5.47837593163053,5.9751596177161,0.0919255325802479,0.151294185815682,4.93959663998773,0.407314799394381,0.274089202034668,0.496783686085571,90.1653464755485,82.6688650348691,-0.0121244622874053,-0.000910162161554984,1,0.95
case002_500rpm_1A,500,1,0.19393756011916,499.939375392255,2.52280008418999e-05,0.998101239138164,0.999111243985726,1.00569305173776,10.9312201201784,11.6014104933325,0.178483238358962,0.205501417787161,10.1533156712458,0.64735842008642,0.274089199516789,0.670190373154105,92.8836448229907,87.5179416940816,-0.0121249215490657,-0.000888756014274295,1,0.95
case003_500rpm_2A,500,2,0.393111107994302,499.939370666334,2.50848766996309e-05,1.99814468455511,1.999154056107,1.58451350624441,22.3169451938424,23.5077117285991,0.36165710351691,0.366268354297317,20.5807535845892,1.60696268709398,0.274089194334866,1.19076653475673,92.2202989962432,87.5489448832697,-0.0121258667330952,-0.000845943892995304,1,0.95
case004_500rpm_3A,500,3,0.592284655869445,499.939366204227,2.49415614339871e-05,2.99818812994998,2.99919686798338,2.2382413266604,34.3427194525108,36.1520316806683,0.556185102779512,0.556697958611582,31.0081913171545,3.20647399748896,0.274089189442212,1.8093122281575,90.2904365509922,85.7716423548489,-0.0121267591545079,-0.000803132016618413,1,0.95
case005_500rpm_4A,500,4,0.791458203744587,499.939361609553,2.47980550438766e-05,3.9982315753428,3.99923967963506,2.91697461825159,47.0085433041102,49.4826771622213,0.761271956341866,0.761271956341866,41.4356288525963,5.44601962810155,0.274089184404198,2.47413385811112,88.1448901416466,83.7376456345642,-0.0121276780894314,-0.000760320364944,1,0.95
case006_500rpm_5A,500,5,0.99063175161973,499.939357014594,2.46543574005785e-05,4.99827502069123,4.99928249101941,3.60662521177836,60.3144162285985,63.4888591879984,0.97675167981536,0.97675167981536,51.8630661963428,8.3256074549415,0.274089179365873,3.17444295939988,85.9878440997852,81.688451894796,-0.0121285970812148,-0.000717508980593529,1,0.95
case007_500rpm_6A,500,6,1.18980529949487,499.939352286535,2.45104685970726e-05,5.99831846602545,5.99932530216719,4.30194516035292,74.2603375111945,78.1687763275732,1.20259655888574,1.20259655888574,62.2905033318278,11.8452339207258,0.274089174181605,3.90843881637865,83.8812553503916,79.6871925828721,-0.0121295426930094,-0.000674697832814708,1,0.95
case008_500rpm_7A,500,7,1.38897884737002,499.939347824019,2.43663880274696e-05,6.9983619113205,6.99936811305109,5.00056915387875,88.8463066801808,93.5224280844009,1.43880658591386,1.43880658591386,72.7179403087067,16.0048930767363,0.274089169288502,4.67612140422003,81.8468915882669,77.7545470088535,-0.0121304351962107,-0.000631886948905702,1,0.95
case009_500rpm_8A,500,8,1.58815239524516,499.939343231055,2.42221156094677e-05,7.99840535657185,7.9994109236664,5.70128263634444,104.072324541652,109.549815307003,1.68538177395389,1.68538177395389,83.1453770777376,20.8045843988538,0.274089164252365,5.47749076535011,79.8919188592359,75.8973229162741,-0.0121313537889574,-0.000589076333602279,1,0.95
case010_500rpm_9A,500,9,1.7873259431203,499.939338511156,2.40776505338461e-05,8.99844880162411,8.9994537338546,6.40340001868134,119.938391869129,126.25093880961,1.94232213553246,1.94232213553246,93.5728136314159,26.2443105281088,0.274089159077044,6.31254694048036,78.0173989105322,74.1165289650056,-0.0121322977687662,-0.000546266145395435,1,0.95
case011_500rpm_10A,500,10,1.98649949099544,499.939334068163,2.39329910603162e-05,9.99849224638684,9.99949654351815,7.10650455867537,136.444507875444,143.625797763625,2.20962765790192,2.20962765790192,104.000250045808,32.3240656275354,0.274089154205348,7.1812898881812,76.2216461953505,72.410563885583,-0.0121331863674744,-0.000503456481848019,1,0.95
case012_500rpm_12A,500,12,2.38484658674573,499.939325140633,2.3643049499071e-05,11.9985791308306,11.9995821568948,8.5146967384948,171.376887594563,180.396723783751,2.7753342120577,2.7753342120577,124.855122308201,46.4036637540892,0.274089144416404,9.01983618918737,72.8541193976975,69.2114134278127,-0.0121349718734292,-0.000417843105244842,1,0.95
case013_500rpm_14A,500,14,2.78319368249601,499.939315682085,2.33524525514125e-05,13.9986660271142,13.9996677816852,9.92459563779068,208.869462988223,219.862592619182,3.3825014249105,3.3825014249105,145.709993671006,63.0433879670671,0.274089134045205,10.9931296309589,69.761271746661,66.273208159328,-0.0121368635829189,-0.000332218314849086,1,0.95
case014_500rpm_16A,500,16,3.1815407782463,499.939306399852,2.30610509973793e-05,15.9987529192395,15.9997534012657,11.3355628640417,248.922232794909,262.02340294201,4.03112927603092,4.03112927603092,166.56486430343,82.2432154338432,0.274089123867333,13.1011701471006,66.9144183841004,63.5686974648954,-0.0121387200295395,-0.000246598734317871,1,0.95
case015_500rpm_18A,500,18,3.57988787399658,499.93929712189,2.27688804476846e-05,17.9988398111926,17.9998390197738,12.7472454296726,291.535198420664,306.879156232278,4.72121778818889,4.72121778818889,187.419734163042,104.003174881659,0.274089113694144,15.3439578116137,64.2871719018331,61.0728133067415,-0.0121405756219733,-0.000160980226212359,1,0.95
case016_500rpm_20A,500,20,3.97823496974687,499.939287842304,2.24759415978897e-05,19.9989267030557,19.9999246372963,14.1594271287496,336.708359932454,354.429852560477,5.45276696246888,5.45276696246888,208.274603247921,128.323225502027,0.274089103519174,17.721492628024,61.856083196064,58.7632790362608,-0.0121424315392546,-7.53627037042293e-05,1,0.95
case017_500rpm_25A,500,25,4.97410270912258,499.939264643711,2.17402274903895e-05,24.9991439322,25.0001386766581,17.69128680007,460.842119324351,485.096967709843,7.46303027245912,7.46303027245912,260.411772573221,200.323891412523,0.27408907808216,24.2548483854924,56.5078063947401,53.682416075003,-0.0121470712577869,0.000138676658060888,1,0.95
case018_500rpm_30A,500,30,5.96997044849829,499.939241443518,2.09996962918644e-05,29.99936116064,30.0003527096917,21.2243504265048,600.977100186519,632.607473880546,9.73242267508532,9.73242267508532,312.548937058896,288.325276309878,0.274089052643392,31.6303736940275,52.0067964256697,49.4064566043862,-0.0121517112964713,0.000352709691679109,1,0.95
case019_500rpm_35A,500,35,6.96583818787401,499.939218201623,2.0254349104074e-05,34.9995783893764,35.000566737424,24.7581003846164,757.113303799462,796.961372420487,12.2609441910844,12.2609441910844,364.686096675192,392.327310355768,0.2740890271589,39.8480686210246,48.1679683668307,45.7595699484892,-0.0121563596754352,0.000566737423987718,1,0.95
case020_500rpm_40A,500,40,7.96170592724972,499.939194920232,1.95041771444151e-05,39.9997956181721,40.0007807596051,28.2922845145819,929.250729444582,978.158662573244,15.0485948088191,15.0485948088191,416.823251410903,512.330175022744,0.274089001631103,48.9079331286619,44.8558433373564,42.6130511704886,-0.0121610159535738,0.000780759605135017,1,0.95
case021_1000rpm_0.5A,1000,0.5,0.0891147984256053,999.938693304061,5.7525220312996e-05,0.498293756169528,0.499352767471777,0.806268185636463,10.6893019408674,11.678717353896,0.179672574675324,0.301236462033798,9.33150774968425,0.416076271207847,1.09648825472358,0.989415413028659,87.2976346005157,79.9018202677132,-0.00613066959393446,-0.000647232528223407,1,0.95
case022_1000rpm_1A,1000,1,0.188701572363177,999.938688672376,5.7482532852736e-05,0.998380917552262,0.999439290873827,1.01227440784505,21.3564960051439,22.6759774513411,0.348861191559094,0.404529339866351,19.7595708887598,0.655858900111791,1.09648824456579,1.31948144619717,92.5225321794386,87.138783459988,-0.00613113276238127,-0.000560709126173342,1,0.95
case023_1000rpm_2A,1000,2,0.387875120238319,999.938679125534,5.73968988412796e-05,1.99855524066158,1.99961233736859,1.58865847846088,43.1709182559857,45.4768526026681,0.699643886194894,0.709265071432451,40.615696865582,1.61538107894688,1.0964882236285,2.30593434668233,94.081151169284,89.3107032283916,-0.00613208744659019,-0.000387662631405883,1,0.95
