time,cmd_raw,pos_ref,vel_ref,acc_ref,acc_unsat,acc_sat_flag,axis_raw,axis_mf_noff,axis_mf_vff,speed_cmd_raw,speed_cmd_mf_noff,speed_cmd_mf_vff
0.0269,6.28318530717959,0.1988,55.9999999999999,7999.99999999997,26296.9456802666,1,0.712529608973349,0.0194636201470018,0.0651125530492802,300,39.6588928281776,85.9951070082803
0.027,6.28318530717959,0.20448,56.7999999999999,7999.99999999997,26144.4731264126,1,0.730247988861183,0.0205058032406572,0.0678968292298196,300,40.687226981797,87.4485023242962
0.0271,6.28318530717959,0.21024,57.5999999999999,7999.99999999997,25991.5457811878,1,0.748119889000418,0.0215871149570259,0.0707574305808156,300,41.7247291071738,88.9028981706192
0.0272,6.28318530717959,0.21608,58.3999999999999,7999.99999999997,25838.1636445922,1,0.766143390387913,0.0227083743010874,0.0736952220426168,300,42.7712193178544,90.3581021541671
0.0273,6.28318530717959,0.222,59.1999999999999,7999.99999999997,25684.3267166258,1,0.784316598008064,0.0238704010502296,0.0767110585162263,300,43.8265175052369,91.8139240646225
0.0274,6.28318530717959,0.228,59.9999999999999,7999.99999999997,25530.0349972886,1,0.802637640532963,0.0250740155192461,0.07980578475379,300,44.890443390858,93.2701758994359
0.0275,6.28318530717959,0.23408,60.7999999999999,7999.99999999997,25375.2884865805,1,0.821104670026301,0.0263200383281225,0.082980235253244,300,45.9628165780727,94.7266718879076
0.0276,6.28318530717959,0.24024,61.5999999999999,7999.99999999997,25220.0871845017,1,0.839715861650972,0.0276092901726418,0.0862352341570978,300,47.0434566031206,96.1832285143566
0.0277,6.28318530717959,0.24648,62.3999999999999,7999.99999999997,25064.4310910521,1,0.858469413380335,0.0289425915978366,0.0895715951553289,300,48.1321829855728,97.6396645403794
0.0278,6.28318530717959,0.2528,63.1999999999999,7999.99999999997,24908.3202062317,1,0.877363545713081,0.0303207627743142,0.0929901213923648,300,49.228815278152,99.0958010262038
0.0279,6.28318530717959,0.2592,63.9999999999999,7999.99999999997,24751.7545300405,1,0.896396501391667,0.0317446232774807,0.0964916053781267,300,50.3331731159215,100.551461351146
0.028,6.28318530717959,0.26568,64.7999999999999,7999.99999999997,24594.7340624784,1,0.915566545124271,0.0332149918696886,0.100076828903108,300,51.4450762648359,102.006471233171
0.0281,6.28318530717959,0.27224,65.5999999999999,7999.99999999997,24437.2588035456,1,0.934871963310218,0.0347326862853311,0.103746562957462,300,52.5643446696499,103.46065874757
0.0282,6.28318530717959,0.27888,66.3999999999999,7999.99999999997,24279.328753242,1,0.95431106376884,0.0362985230189044,0.107501567654067,300,53.690798501178,104.913854344754
0.0283,6.28318530717959,0.2856,67.1999999999999,7999.99999999997,24120.9439115676,1,0.97388217547173,0.0379133171160618,0.111342592155548,300,54.8242582029026,106.365890867169
0.0284,6.28318530717959,0.2924,67.9999999999999,7999.99999999997,23962.1042785223,1,0.993583648278333,0.0395778819676758,0.115270374605218,300,55.9645445369231,107.81660356535
0.0285,6.28318530717959,0.29928,68.7999999999999,7999.99999999997,23802.8098541063,1,1.01341385267485,0.0412930291069312,0.119285642061908,300,57.1114786292441,109.265830113104
0.0286,6.28318530717959,0.30624,69.5999999999999,7999.99999999997,23643.0606383195,1,1.03337117951642,0.0430595680094639,0.123389110438667,300,58.2648820143973,110.713410621843
0.0287,6.28318530717959,0.31328,70.3999999999999,7999.99999999997,23482.8566311618,1,1.05345403977246,0.0448783058965641,0.127581484445284,300,59.424576679393,112.159187654066
0.0288,6.28318530717959,0.3204,71.1999999999999,7999.99999999997,23322.1978326334,1,1.07366086427531,0.0467500475414594,0.131863457534613,300,60.5903851069977,113.603006235995
0.0289,6.28318530717959,0.3276,71.9999999999999,7999.99999999997,23161.0842427341,1,1.09399010347187,0.0486755950786914,0.136235711852662,300,61.7621303183355,115.044713869383
0.029,6.28318530717959,0.33488,72.7999999999999,7999.99999999997,22999.5158614641,1,1.11444022717847,0.0506557478166015,0.140698918192414,300,62.9396359148075,116.484160542487
0.0291,6.28318530717959,0.34224,73.5999999999999,7999.99999999997,22837.4926888232,1,1.13500972433874,0.0526913020529369,0.145253735951344,300,64.1227261193286,117.921198740227
0.0292,6.28318530717959,0.34968,74.3999999999999,7999.99999999997,22675.0147248116,1,1.1556971027845,0.0547830508935892,0.149900813092605,300,65.3112258168783,119.355683453524
0.0293,6.28318530717959,0.3572,75.1999999999999,7999.99999999997,22512.0819694291,1,1.1765008889997,0.0569317840744763,0.154640786109835,300,66.5049605943616,120.787472187838
0.0294,6.28318530717959,0.3648,75.9999999999999,7999.99999999997,22348.6944226759,1,1.1974196278872,0.0591382877865771,0.159474279995562,300,67.7037567797794,122.216424970908
0.0295,6.28318530717959,0.37248,76.7999999999999,7999.99999999997,22184.8520845518,1,1.21845188253861,0.0614033445041274,0.164401908213168,300,68.9074414807055,123.642404359698
0.0296,6.28318530717959,0.38024,77.5999999999999,7999.99999999997,22020.554955057,1,1.23959623400688,0.063727732815986,0.169424272672362,300,70.115842622068,125.065275446564
0.0297,6.28318530717959,0.38808,78.3999999999998,7999.99999999997,21855.8030341913,1,1.26085128108179,0.0661122272601754,0.174541963708147,300,71.3287889832344,126.484905864649
0.0298,6.28318530717959,0.396,79.1999999999998,7999.99999999997,21690.5963219549,1,1.28221564006827,0.0685575981616054,0.179755560063225,300,72.5461102343972,127.901165792503
0.0299,6.28318530717959,0.404,79.9999999999998,7999.99999999997,21524.9348183476,1,1.30368794456742,0.0710646114729828,0.185065628873812,300,73.767636972261,129.313927957961
