index_1based,controller_index_1based,theta_deg,theta_rad,iq_forward_A,iq_backward_A,iq_cog_A,iq_direction_A,iq_ff_raw_A,iq_ff_A,ff_table_value_A,is_active_point
1,1,0,0,0,NaN,0,0,0.0127467495239593,0.00117546081558423,0.00117546081558423,1
2,2,2,0.0349065850398866,-0.0027318123316734,NaN,-0.0027318123316734,0,0.0100149371922859,0.0111487735190723,0.0111487735190723,1
3,3,4,0.0698131700797732,0.00513263540506031,NaN,0.00513263540506031,0,0.0178793849290196,0.0211111166677522,0.0211111166677522,1
4,4,6,0.10471975511966,0.014780380441827,NaN,0.014780380441827,0,0.0275271299657863,0.0280081087114253,0.0280081087114253,1
5,5,8,0.139626340159546,0.0246406322037505,NaN,0.0246406322037505,0,0.0373873817277098,0.0374142374899176,0.0374142374899176,1
6,6,10,0.174532925199433,0.0344849602183659,NaN,0.0344849602183659,0,0.0472317097423252,0.0471946263121688,0.0471946263121688,1
7,7,12,0.20943951023932,0.0442988315607877,NaN,0.0442988315607877,0,0.0570455810847469,0.0569760642307105,0.0569760642307105,1
8,8,14,0.244346095279206,0.0540345795163164,NaN,0.0540345795163164,0,0.0667813290402757,0.0666975632497707,0.0666975632497707,1
9,9,16,0.279252680319093,0.0636875700345355,NaN,0.0636875700345355,0,0.0764343195584948,0.0763413382773057,0.0763413382773057,1
10,10,18,0.314159265358979,0.0732481272990517,NaN,0.0732481272990517,0,0.085994876823011,0.0858809550752734,0.0858809550752734,1
11,11,20,0.349065850398866,0.0827038353560409,NaN,0.0827038353560409,0,0.0954505848800002,0.0953142784192166,0.0953142784192166,1
12,12,22,0.383972435438752,0.091996915550626,NaN,0.091996915550626,0,0.104743665074585,0.104640656464144,0.104640656464144,1
13,13,24,0.418879020478639,0.101201196236032,NaN,0.101201196236032,0,0.113947945759992,0.113831534753046,0.113831534753046,1
14,14,26,0.453785605518526,0.110319460259173,NaN,0.110319460259173,0,0.123066209783132,0.122891571144601,0.122891571144601,1
15,15,28,0.488692190558412,0.119202518743564,NaN,0.119202518743564,0,0.131949268267524,0.131812392239642,0.131812392239642,1
16,16,30,0.523598775598299,0.128004017313813,NaN,0.128004017313813,0,0.140750766837772,0.14057416083929,0.14057416083929,1
17,17,32,0.558505360638185,0.136601021025834,NaN,0.136601021025834,0,0.149347770549793,0.14915533500434,0.14915533500434,1
18,18,34,0.593411945678072,0.14501003923427,NaN,0.14501003923427,0,0.157756788758229,0.157553380184829,0.157553380184829,1
19,19,36,0.628318530717959,0.153225331084425,NaN,0.153225331084425,0,0.165972080608384,0.165759260332589,0.165759260332589,1
20,20,38,0.663225115757845,0.161192744646008,NaN,0.161192744646008,0,0.173939494169967,0.173762892412261,0.173762892412261,1
21,21,40,0.698131700797732,0.169033418052612,NaN,0.169033418052612,0,0.181780167576571,0.18155469611091,0.18155469611091,1
22,22,42,0.733038285837618,0.176619181424194,NaN,0.176619181424194,0,0.189365930948153,0.189116221109593,0.189116221109593,1
23,23,44,0.767944870877505,0.183969057727517,NaN,0.183969057727517,0,0.196715807251476,0.196455021246917,0.196455021246917,1
24,24,46,0.802851455917391,0.191032956077836,NaN,0.191032956077836,0,0.203779705601796,0.203555282930864,0.203555282930864,1
25,25,48,0.837758040957278,0.197886745332631,NaN,0.197886745332631,0,0.21063349485659,0.210407574277113,0.210407574277113,1
26,26,50,0.872664625997165,0.204534726472346,NaN,0.204534726472346,0,0.217281475996306,0.217003402872978,0.217003402872978,1
27,27,52,0.907571211037051,0.210880638155436,NaN,0.210880638155436,0,0.223627387679395,0.223343784279837,0.223343784279837,1
28,28,54,0.942477796076938,0.216948200706844,NaN,0.216948200706844,0,0.229694950230803,0.229404452568035,0.229404452568035,1
29,29,56,0.977384381116825,0.222734863112132,NaN,0.222734863112132,0,0.235481612636092,0.235184100960563,0.235184100960563,1
30,30,58,1.01229096615671,0.228190086773621,NaN,0.228190086773621,0,0.240936836297581,0.240676904495844,0.240676904495844,1
31,31,60,1.0471975511966,0.233432968434983,NaN,0.233432968434983,0,0.246179717958942,0.245876305834238,0.245876305834238,1
32,32,62,1.08210413623648,0.238344655831846,NaN,0.238344655831846,0,0.251091405355805,0.250775997982264,0.250775997982264,1
33,33,64,1.11701072127637,0.242945207398811,NaN,0.242945207398811,0,0.25569195692277,0.255378867550801,0.255378867550801,1
34,34,66,1.15191730631626,0.24723332385226,NaN,0.24723332385226,0,0.25998007337622,0.259663022902392,0.259663022902392,1
35,35,68,1.18682389135614,0.251204434616307,NaN,0.251204434616307,0,0.263951184140266,0.263629492639542,0.263629492639542,1
36,36,70,1.22173047639603,0.254853745192938,NaN,0.254853745192938,0,0.267600494716898,0.267274448167968,0.267274448167968,1
37,37,72,1.25663706143592,0.258177004517598,NaN,0.258177004517598,0,0.270923754041557,0.270593613107356,0.270593613107356,1
38,38,74,1.2915436464758,0.261169985040941,NaN,0.261169985040941,0,0.2739167345649,0.273581044150441,0.273581044150441,1
