module_id,filter_case,alpha,speed_loop_bandwidth_hz,speed_loop_kp,speed_loop_ki,speed_loop_kaw,speed_estimator_sample_time_us,gain_crossover_hz,phase_at_crossover_deg,phase_margin_deg,measurement_phase_at_crossover_deg,measurement_phase_at_speed_bw_deg,measurement_gain_at_speed_bw_db,phase_margin_loss_vs_no_filter_deg
1615,no_filter,NaN,20,0.302884591,19.0308001,125.663706,400,40.5693881615256,-110.336764273518,69.6632357264824,0,0,0,0
1615,diff_window_only,NaN,20,0.302884591,19.0308001,125.663706,400,40.552821938679,-113.2595272712,66.7404727287995,-2.91980607285267,-1.44000000000002,-0.000914433829510754,2.92276299768292
1615,diff_plus_iir_alpha_0p05,0.05,20,0.302884591,19.0308001,125.663706,400,26.0538558177265,-167.278755719099,12.7212442809013,-51.9431180966013,-44.4324641881454,-2.92328235793479,56.9419914455812
1615,diff_plus_iir_alpha_0p1,0.1,20,0.302884591,19.0308001,125.663706,400,32.5619649197999,-150.246357861657,29.7536421383431,-37.8788916228966,-25.5301942552998,-0.890591380712202,39.9095935881393
1615,diff_plus_iir_alpha_0p2,0.2,20,0.302884591,19.0308001,125.663706,400,37.5508366214522,-133.975735039994,46.0242649600065,-23.0257623782901,-12.7481141848715,-0.214965017643032,23.638970766476
1615,diff_plus_iir_alpha_0p3,0.3,20,0.302884591,19.0308001,125.663706,400,39.1892532795992,-126.202338069694,53.7976619303057,-15.6045418614729,-8.10717594802557,-0.085414414463876,15.8655737961767
1615,diff_plus_iir_alpha_0p5,0.5,20,0.302884591,19.0308001,125.663706,400,40.1693894641913,-119.027646080873,60.9723539191266,-8.61837923924053,-4.31274621566208,-0.0228005233005638,8.69088180735582
1620,no_filter,NaN,20,0.516685479,32.4643061,125.663706,400,40.5693881806261,-110.33676428373,69.6632357162703,0,0,0,0
1620,diff_window_only,NaN,20,0.516685479,32.4643061,125.663706,400,40.5528219577578,-113.259527282793,66.7404727172067,-2.91980607422593,-1.44000000000002,-0.000914433829510754,2.92276299906358
1620,diff_plus_iir_alpha_0p05,0.05,20,0.516685479,32.4643061,125.663706,400,26.0538558262446,-167.278755742749,12.7212442572506,-51.943118105703,-44.4324641881454,-2.92328235793479,56.9419914590197
1620,diff_plus_iir_alpha_0p1,0.1,20,0.516685479,32.4643061,125.663706,400,32.5619649315527,-150.246357884073,29.7536421159265,-37.8788916329309,-25.5301942552998,-0.890591380712202,39.9095936003438
1620,diff_plus_iir_alpha_0p2,0.2,20,0.516685479,32.4643061,125.663706,400,37.5508366370909,-133.975735059558,46.0242649404416,-23.0257623868858,-12.7481141848715,-0.214965017643032,23.6389707758287
1620,diff_plus_iir_alpha_0p3,0.3,20,0.516685479,32.4643061,125.663706,400,39.1892532969736,-126.202338086836,53.797661913164,-15.6045418680609,-8.10717594802557,-0.085414414463876,15.8655738031063
1620,diff_plus_iir_alpha_0p5,0.5,20,0.516685479,32.4643061,125.663706,400,40.1693894827644,-119.027646095128,60.9723539048724,-8.61837924317436,-4.31274621566208,-0.0228005233005638,8.69088181139786
