time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.1841196,0.02954612,0
5e-05,-0.3,0,0,0,-0.3280755,0.05264708,0
0.0001,-0.3,2.143126e-06,-0.1587678,-1.315305e-06,-0.3745905,0.06011145,-0.4296033
0.00015,-0.3,3.005366e-05,-0.3022084,-1.947328e-05,-0.3543271,0.05685974,-1.527419
0.0002,-0.3,0.000109709,-0.3576505,-8.278163e-05,-0.3192409,0.05122936,-3.028296
0.00025,-0.3,0.0001956561,-0.3429016,-0.0001881743,-0.300629,0.04824268,-4.58707
0.0003,-0.3,0.000224378,-0.3060991,-0.0002996881,-0.3026294,0.04856371,-6.020244
0.00035,-0.3,0.0001983208,-0.2810171,-0.0003913644,-0.3150964,0.05056432,-7.320626
0.0004,-0.3,0.0001695133,-0.2756232,-0.0004688491,-0.3275158,0.05255731,-8.562166
0.00045,-0.3,0.0001715415,-0.2819825,-0.0005514353,-0.3353102,0.05380812,-9.811398
0.0005,0.3,0.0001964468,-0.2898015,-0.0006490352,0.02908209,0.004668036,-11.09301
0.00055,0.3,0.0002184162,-0.2937255,-0.0007567841,0.3145084,0.05047008,-12.39902
0.0006,0.3,-0.0005489439,0.02386723,-0.0003906383,0.4044926,0.06490993,-12.8526
0.00065,0.3,-0.001427291,0.3125146,0.0004118437,0.3598436,0.05774501,-11.96488
0.0007,0.3,-0.00142093,0.4248909,0.00109283,0.2848694,0.04571403,-10.26387
0.00075,0.3,-0.0005436349,0.3959023,0.001236243,0.2427314,0.0389522,-8.443069
0.0008,0.3,0.0004003544,0.3220803,0.0009177516,0.2420193,0.0388377,-6.873154
0.00085,0.3,0.0007975271,0.2715054,0.0004818827,0.2624635,0.04211822,-5.570317
0.0009,0.3,0.0006435886,0.2604596,0.0001936639,0.2829158,0.0454002,-4.386588
0.00095,0.3,0.0002868273,0.2731365,0.0001037918,0.2941092,0.04719641,-3.188042
0.001,-0.3,3.740285e-05,0.2888518,0.0001192367,-0.07088453,0.01137503,-1.924609
0.00105,-0.3,-1.16399e-05,0.2967843,0.0001313879,-0.3583153,0.05749973,-0.6119894
0.0011,-0.3,0.0001101294,-0.02082787,6.223961e-05,-0.4497553,0.07217332,-0.1447894
0.00115,-0.3,0.0001502736,-0.311248,-1.524406e-05,-0.4054767,0.06506784,-1.023725
0.0012,-0.3,0.0001649777,-0.4251353,-9.637771e-05,-0.330183,0.05298528,-2.723154
0.00125,-0.3,0.0002140161,-0.3966649,-0.0002056392,-0.2876097,0.04615344,-4.546454
0.0013,-0.3,0.000223997,-0.3226257,-0.0003144611,-0.286665,0.04600186,-6.11919
0.00135,-0.3,0.0001759205,-0.2716385,-0.0003924406,-0.3071005,0.04928121,-7.42335
0.0014,-0.3,0.000137568,-0.2603357,-0.0004533185,-0.3276467,0.05257832,-8.606978
0.00145,-0.3,0.0001549427,-0.2729723,-0.0005299943,-0.3389243,0.05438808,-9.804861
0.0015,0.3,0.000206111,-0.2887659,-0.0006357477,0.02603862,0.004179725,-11.06777
0.00155,0.3,0.0002435921,-0.2967828,-0.000757654,0.3134799,0.05030504,-12.38024
0.0016,0.3,-0.000527024,0.02079052,-0.0004015905,0.404943,0.06498223,-12.84753
0.00165,0.3,-0.001421876,0.3112137,0.0004005027,0.3606806,0.05787933,-11.96875
0.0017,0.3,-0.001430487,0.4251224,0.001088079,0.2853902,0.04579759,-10.26942
0.00175,0.3,-0.0005564466,0.3966709,0.001238076,0.2428115,0.03896505,-8.446127
0.0018,0.3,0.0003936263,0.3226382,0.0009219986,0.2418599,0.03881212,-6.873347
0.00185,0.3,0.0007980294,0.2716473,0.0004849207,0.2622916,0.04209064,-5.569142
