case_name,kp,ki,square_stable_all,step_stable_all,worst_square_peak_abs_a,worst_step_overshoot_ratio,score_75us
1615_1500hz_pm70_td075us,1.52320723147985,23812.2981753771,1,0,0.594716942761955,0.431873331871153,0.172603786233517
1615_1200hz_pm70_td075us,1.04615873951644,20653.4832996712,1,0,0.580655365775299,0.408423868397467,0.195675361003835
1615_1500hz_pm65_td075us,1.29720646644624,24972.8834426449,1,0,0.669011269787573,0.43248386077791,0.203736221785908
1615_1200hz_pm65_td075us,0.803436133790633,21262.3620785405,1,0,0.659457450143726,0.432487250138167,0.226590323031906
1615_1500hz_pm60_td075us,1.06133317692828,25943.4099878749,1,0,0.750995076045253,0.432545042829271,0.255545759761884
1615_1200hz_pm60_td075us,0.554598893958672,21709.4214434268,1,0,0.744322957037763,0.432545946910574,0.2835211304093
