time_s,joint_pos_rad,joint_vel_rad_s,pos_error_rad,iq_cmd_a,iq_ref_a,iq_actual_a,motor_output_torque_nm,friction_torque_nm,net_torque_nm
0,1.61418130626238e-06,0.0322836261252476,0.2,2.4,2.4,0.901851759243433,0.855339605990822,-0.0020638267429,0.857403432733722
5e-05,5.79181768572142e-06,0.0835527275891809,0.199998385818694,2.39198496355964,2.39198496355964,1.46180144750161,1.38641041759652,0.0247819741927527,1.36162844340376
0.0001,1.31433193145159e-05,0.14703003257589,0.199994208182314,2.37923704440053,2.37923704440053,1.80654765877488,1.7133766684188,0.0275171250967541,1.68585954332204
0.00015,2.40409913662571e-05,0.217953441034825,0.199986856680685,2.36342744043486,2.36342744043486,2.01580724659869,1.91184389051434,0.0282272968284788,1.88361659368586
0.0002,3.87047328761288e-05,0.293274830197434,0.199975959008634,2.34573111045579,2.34573111045579,2.13978325369699,2.02942595206372,0.0290057583795923,2.00042019368412
0.00025,5.72585348967126e-05,0.371076040411676,0.199961295267124,2.3269003424076,2.3269003424076,2.2100965352129,2.096112892452,0.0298324675166962,2.06628042493531
0.0003,7.97660820437391e-05,0.45015094294053,0.199942741465103,2.30740871784498,2.30740871784498,2.24666368650563,2.13079412743143,0.0306863945426196,2.10010773288881
0.00035,0.000106253176118054,0.529741881486297,0.199920233917956,2.28755419373138,2.28755419373138,2.26202917645475,2.14536715673945,0.0315543013033868,2.11381285543606
0.0004,0.000136721859362453,0.609373664887978,0.199893746823882,2.26752410872471,2.26752410872471,2.26409401576083,2.14732550390725,0.0324278719490727,2.11489763195818
0.00045,0.000171159309595119,0.688749004653318,0.199863278140638,2.24743612862712,2.24743612862712,2.25783445542049,2.14138877448326,0.0333018908978922,2.10808688358536
0.0005,0.000209543442323764,0.767682654572899,0.199828840690405,2.22736403656683,2.22736403656683,2.24638453840046,2.13052937612631,0.034173095184175,2.09635628094214
0.00055,0.000251846438698931,0.846059927503345,0.199790456557676,2.20735397737502,2.20735397737502,2.23171796334836,2.11661921583918,0.0350394515909027,2.08157976424828
0.0006,0.00029803696702532,0.923810566527789,0.199748153561301,2.18743468937371,2.18743468937371,2.21507756812373,2.10083703329191,0.0358997013400821,2.06493733195183
0.00065,0.000348081581391997,1.00089228733352,0.199701963032975,2.16762394903157,2.16762394903157,2.19724584734843,2.08392496668477,0.0367530733090031,2.04717189337577
0.0007,0.000401945602000551,1.07728041217109,0.199651918418608,2.14793263022985,2.14793263022985,2.17871534250995,2.06635015514296,0.0375991033954071,2.02875105174756
0.00075,0.000459593669035546,1.1529613406999,0.199598054397999,2.12836726104948,2.12836726104948,2.15979596507676,2.04840652674347,0.0384375207423606,2.0099690060011
0.0008,0.000520990090913653,1.22792843756214,0.199540406330964,2.10893163419642,2.10893163419642,2.14068259579044,2.03027891143756,0.039268176075857,1.9910107353617
0.00085,0.000586099063022355,1.30217944217404,0.199479009909086,2.08962782134475,2.08962782134475,2.12149766322727,2.01208342366326,0.0400909965678341,1.97199242709542
0.0009,0.000654884804887919,1.37571483731128,0.199413900936978,2.07045681202725,2.07045681202725,2.10231796262393,1.9938928980154,0.0409059574066781,1.95298694060872
0.00095,0.000727311645968273,1.44853682160708,0.199345115195112,2.05141891604084,2.05141891604084,2.0831915481636,1.97575291032803,0.0417130638912168,1.93403984643681
0.001,0.000803344079089995,1.52064866243444,0.199272688354032,2.03251401689784,2.03251401689784,2.06414837286105,1.95769186881743,0.0425123401531097,1.91517952866432
0.00105,0.000882946793508975,1.5920542883796,0.19919665592091,2.01374173145605,2.01374173145605,2.04520699026578,1.93972737015132,0.0433038220542426,1.89642354809708
0.0011,0.000966084695140256,1.66275803262562,0.199117053206491,1.9951015104538,1.9951015104538,2.02637877563404,1.92187020291784,0.0440875527138158,1.87778265020402
0.00115,0.0010527229187097,1.73276447138891,0.19903391530486,1.97659270182326,1.97659270182326,2.00767058469567,1.90412686926902,0.044863579691785,1.85926328957724
0.0012,0.00114282683482101,1.80207832222612,0.19894727708129,1.95821459055895,1.95821459055895,1.98908642831345,1.8865011732112,0.0456319532155807,1.84086921999562
0.00125,0.00123636205382355,1.87070438005092,0.198857173165179,1.93996642381923,1.93996642381923,1.97062852728547,1.86899522100688,0.0463927250639491,1.82260249594293
0.0013,0.00133329442766869,1.93864747690268,0.198763637946176,1.92184742672651,1.92184742672651,1.95229797672008,1.85161005128526,0.047145947864688,1.80446410342057
0.00135,0.00143359005050245,2.00591245667525,0.198666705572331,1.90385681230908,1.90385681230908,1.93409516449347,1.83434603191816,0.0478916746530782,1.78645435726508
0.0014,0.00153721525846586,2.07250415926821,0.198566409949498,1.88599378775292,1.88599378775292,1.91602003481201,1.81720310998946,0.0486299585945119,1.76857315139494
0.00145,0.00164413662899949,2.13842741067265,0.198462784741534,1.86825755832932,1.86825755832932,1.89807225421129,1.80018096923285,0.0493608528105413,1.75082011642231
0.0015,0.00175432097983922,2.20368701679455,0.198355863371001,1.85064732985869,1.85064732985869,1.88025131610321,1.78327912918706,0.0500844102700626,1.733194718917
0.00155,0.00186773536782081,2.26828775963188,0.198245679020161,1.83316231025234,1.83316231025234,1.8625566066167,1.76649700764082,0.0508006837215226,1.71569632391929
0.0016,0.00198434708756751,2.33223439493391,0.198132264632179,1.81580171047369,1.81580171047369,1.84498744605844,1.74983395995536,0.0515097256509596,1.6983242343044
0.00165,0.0021041236701072,2.39553165079373,0.198015652912433,1.7985647451337,1.7985647451337,1.82754311501769,1.73328930382286,0.0522115882563128,1.68107771556654
0.0017,0.0022270328814486,2.45818422682816,0.197895876329893,1.78145063285606,1.78145063285606,1.81022287079879,1.7168623348515,0.0529063234319737,1.66395601141952
0.00175,0.00235304272113497,2.52019679372722,0.197772967118551,1.7644585964974,1.7644585964974,1.79302595776162,1.70055233637258,0.0535939827597853,1.64695835361279
0.0018,0.00248212142078677,2.58157399303613,0.197646957278865,1.7475878632762,1.7475878632762,1.77595161382481,1.68435858560836,0.0542746175040974,1.63008396810426
0.00185,0.00261423744264093,2.64232043708318,0.197517878579213,1.73083766484432,1.73083766484432,1.75899907455211,1.66828035754766,0.0549482786093731,1.61333207893829
0.0019,0.0027493594780909,2.70244070899935,0.197385762557359,1.71420723732233,1.71420723732233,1.74216757571652,1.65231692737778,0.0556150166993982,1.59670191067838
0.00195,0.00288745644623065,2.76193936279513,0.197250640521909,1.69769582131222,1.69769582131222,1.72545635490562,1.63646757200699,0.0562748820774955,1.58019268992949
0.002,0.00302849749240431,2.82082092347312,0.197112543553769,1.68130266189582,1.68130266189582,1.70886465252312,1.62073157101447,0.0569279247273686,1.5638036462871
0.00205,0.00317245198676245,2.87908988716282,0.196971502507596,1.66502700862433,1.66502700862433,1.69239171241012,1.60510820723949,0.0575741943143379,1.54753401292515
0.0021,0.00331928952282589,2.93675072126887,0.196827548013238,1.64886811550226,1.64886811550226,1.6760367822268,1.58959676714346,0.0582137401868191,1.53138302695664
0.00215,0.00346897991605728,2.99380786462762,0.196680710477174,1.63282524096793,1.63282524096793,1.6597991136835,1.57419654102903,0.0588466113779516,1.51534992965108
0.0022,0.0036214932024407,3.0502657276684,0.196531020083943,1.61689764787186,1.61689764787186,1.64367796267669,1.55890682316913,0.0594728566073157,1.49943396656182
0.00225,0.00377679963706957,3.10612869257749,0.196378506797559,1.60108460345388,1.60108460345388,1.62767258936536,1.54372691187936,0.0600925242827034,1.48363438759665
