time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.1311231,0.02104164,0
5e-05,-0.3,0,0,0,-0.2634502,0.0422765,0
0.0001,-0.3,5.070874e-06,-0.1130686,-2.216362e-06,-0.3463576,0.05558085,-0.3059477
0.00015,-0.3,8.763015e-05,-0.2409242,-4.053783e-05,-0.3729286,0.05984475,-1.157319
0.0002,-0.3,0.0003859374,-0.3264603,-0.0002095739,-0.3616005,0.05802692,-2.465689
0.00025,-0.3,0.0008623041,-0.3565704,-0.000588016,-0.3367687,0.05404217,-4.006428
0.0003,-0.3,0.001264907,-0.3461228,-0.001144338,-0.3163824,0.05077099,-5.572015
0.00035,-0.3,0.001382949,-0.3186999,-0.00175387,-0.308024,0.04943017,-7.04497
0.0004,-0.3,0.001231939,-0.293187,-0.002297872,-0.3109268,0.04989654,-8.400512
0.00045,-0.3,0.0009967457,-0.2786437,-0.002738471,-0.3202884,0.05139935,-9.671694
0.0005,0.3,0.0008590352,-0.2754845,-0.003117936,-0.06884319,0.01105876,-10.90867
0.00055,0.3,0.0008852123,-0.279472,-0.00350829,0.1867403,0.02997196,-12.15086
0.0006,0.3,-0.001675098,-0.05948922,-0.002779696,0.3461905,0.05555581,-12.80483
0.00065,0.3,-0.005290559,0.1913413,-0.0004605919,0.3951254,0.06340679,-12.392
0.0007,0.3,-0.006999537,0.3601229,0.002619978,0.3692832,0.05926127,-11.07999
0.00075,0.3,-0.005430302,0.4203255,0.00502153,0.3164504,0.05078797,-9.307346
0.0008,0.3,-0.001747575,0.4006092,0.005807149,0.2719936,0.04365742,-7.481865
0.00085,0.3,0.001817297,0.347087,0.005019864,0.2510092,0.04028811,-5.835994
0.0009,0.3,0.003729418,0.2969207,0.003382528,0.2521661,0.04046935,-4.420281
0.00095,0.3,0.003778888,0.2681043,0.001715895,0.2661194,0.04270571,-3.171036
0.001,-0.3,0.002676656,0.2616419,0.0005308243,0.02076665,0.003333563,-1.990108
0.00105,-0.3,0.001346925,0.2693184,-6.862829e-05,-0.2303234,0.03696056,-0.7998079
0.0011,-0.3,0.0006140061,0.05520174,-0.000342402,-0.3878588,0.06224068,-0.1753351
0.00115,-0.3,9.130593e-05,-0.1909321,-0.0003847741,-0.4369555,0.07011934,-0.5945888
0.0012,-0.3,-4.088506e-05,-0.3574395,-0.0003672706,-0.4122877,0.06616084,-1.898593
0.00125,-0.3,0.000433946,-0.4174849,-0.0005567743,-0.3607073,0.05788364,-3.658808
0.0013,-0.3,0.001130886,-0.3987627,-0.0010528,-0.3170688,0.05088109,-5.47429
0.00135,-0.3,0.0014918,-0.3464572,-0.00170937,-0.2963671,0.04755954,-7.115214
0.0014,-0.3,0.001361977,-0.2971676,-0.002310646,-0.2974186,0.04772893,-8.530495
0.00145,-0.3,0.001004459,-0.2687213,-0.002755139,-0.3111012,0.04992513,-9.78185
0.0015,0.3,0.0007584374,-0.2622231,-0.003090665,-0.06549202,0.01052136,-10.96544
0.00155,0.3,0.0007765368,-0.2696624,-0.003433116,0.1857508,0.02981297,-12.15769
0.0016,0.3,-0.001709642,-0.05530741,-0.002688987,0.3433337,0.05509729,-12.78304
0.00165,0.3,-0.005221168,0.1909664,-0.0004000738,0.3924158,0.06297196,-12.36385
0.0017,0.3,-0.006872959,0.3575286,0.002624893,0.367709,0.05900867,-11.05952
0.00175,0.3,-0.005326018,0.4175924,0.004980356,0.3160812,0.05072862,-9.298849
0.0018,0.3,-0.001711614,0.3988724,0.005749839,0.2723944,0.04372154,-7.482888
0.00185,0.3,0.001789499,0.3465464,0.00497456,0.2516533,0.0403913,-5.841543
0.0019,0.3,0.003672916,0.2972127,0.003362031,0.2526847,0.04055252,-4.425994
0.00195,0.3,0.003728181,0.2687143,0.001717788,0.2663702,0.04274596,-3.174583
0.002,-0.3,0.002649684,0.2621788,0.0005447095,0.02078037,0.003335822,-1.991126
0.00205,-0.3,0.001344047,0.2696072,-5.337701e-05,-0.230438,0.03697895,-0.7990978
0.0021,-0.3,0.0006256034,0.05524896,-0.0003322081,-0.3879952,0.06226256,-0.1739878
0.00215,-0.3,0.0001060907,-0.1910286,-0.0003810888,-0.4370499,0.0701345,-0.5934196
0.0022,-0.3,-3.020465e-05,-0.3575729,-0.0003683128,-0.4123235,0.06616658,-1.897955
0.00225,-0.3,0.0004386529,-0.4175857,-0.0005599166,-0.3606985,0.05788223,-3.658677
0.0023,-0.3,0.001130655,-0.3988069,-0.00105586,-0.3170403,0.05087652,-5.474457
0.00235,-0.3,0.001488931,-0.3464549,-0.001711176,-0.2963394,0.0475551,-7.115453
0.0024,-0.3,0.001358472,-0.2971423,-0.002310908,-0.297402,0.04772626,-8.530661
0.00245,-0.3,0.001002271,-0.2686935,-0.00275443,-0.3110968,0.04992442,-9.781897
0.0025,0.3,0.0007580258,-0.2622048,-0.003089768,-0.06549574,0.01052195,-10.96539
0.00255,0.3,0.0007770881,-0.2696562,-0.003432458,0.1857442,0.02981192,-12.15759
0.0026,0.3,-0.001708876,-0.05531039,-0.002688666,0.3433285,0.05509645,-12.78294
0.00265,0.3,-0.00522043,0.1909599,-0.000400078,0.3924134,0.06297157,-12.36377
0.0027,0.3,-0.006872259,0.3575229,0.00262458,0.3677091,0.05900868,-11.05946
0.00275,0.3,-0.005325861,0.4175893,0.004979972,0.3160827,0.05072886,-9.298812
0.0028,0.3,-0.001711726,0.3988719,0.005749504,0.2723961,0.04372181,-7.482858
0.00285,0.3,0.001789235,0.3465475,0.004974341,0.2516545,0.0403915,-5.841511
0.0029,0.3,0.003672618,0.297214,0.003361943,0.2526854,0.04055262,-4.425957
0.00295,0.3,0.003727749,0.2687157,0.00171789,0.2663702,0.04274597,-3.174539
0.003,-0.3,0.002649471,0.2621793,0.0005449064,0.02078018,0.003335792,-1.991079
0.00305,-0.3,0.00134407,0.2696072,-5.318911e-05,-0.2304383,0.03697899,-0.7990494
0.0031,-0.3,0.0006256429,0.05524859,-0.0003320376,-0.3879954,0.06226258,-0.1739404
0.00315,-0.3,0.000106249,-0.1910289,-0.0003809876,-0.4370499,0.07013449,-0.5933735
0.0032,-0.3,-3.011525e-05,-0.3575731,-0.0003682513,-0.4123234,0.06616656,-1.89791
0.00325,-0.3,0.0004385412,-0.4175856,-0.0005598066,-0.3606984,0.05788222,-3.658633
0.0033,-0.3,0.001130879,-0.3988071,-0.001055848,-0.3170402,0.05087649,-5.474413
0.00335,-0.3,0.001489125,-0.3464548,-0.001711249,-0.2963393,0.04755508,-7.115409
0.0034,-0.3,0.001358617,-0.297142,-0.002311045,-0.297402,0.04772626,-8.530616
0.00345,-0.3,0.001002107,-0.2686937,-0.002754496,-0.3110967,0.04992441,-9.781852
0.0035,0.3,0.0007578656,-0.262205,-0.003089763,-0.06549552,0.01052191,-10.96534
0.00355,0.3,0.0007769801,-0.2696565,-0.003432405,0.1857446,0.02981197,-12.15755
0.0036,0.3,-0.001708745,-0.05531017,-0.002688671,0.3433287,0.05509648,-12.7829
0.00365,0.3,-0.005220149,0.1909601,-0.0004002061,0.3924136,0.0629716,-12.36373
0.0037,0.3,-0.006872319,0.3575228,0.002624477,0.3677093,0.05900871,-11.05942
0.00375,0.3,-0.005325735,0.4175893,0.004979814,0.3160829,0.05072888,-9.298769
0.0038,0.3,-0.001712017,0.398872,0.005749471,0.2723962,0.04372182,-7.482814
0.00385,0.3,0.001789309,0.3465474,0.004974277,0.2516546,0.04039152,-5.841467
0.0039,0.3,0.003672607,0.2972139,0.003361884,0.2526855,0.04055265,-4.425913
0.00395,0.3,0.003727779,0.2687154,0.001717818,0.2663705,0.04274601,-3.174497
0.004,-0.3,0.002649263,0.2621794,0.0005449249,0.02078044,0.003335835,-1.991037
0.00405,-0.3,0.001344085,0.2696075,-5.317631e-05,-0.2304381,0.03697897,-0.7990066
0.0041,-0.3,0.0006258711,0.05524888,-0.0003321246,-0.3879953,0.06226258,-0.1738962
0.00415,-0.3,0.0001063049,-0.191029,-0.0003810999,-0.4370498,0.07013448,-0.5933291
0.0042,-0.3,-3.036857e-05,-0.3575734,-0.0003682532,-0.4123232,0.06616653,-1.897866
0.00425,-0.3,0.0004384294,-0.4175858,-0.0005597586,-0.3606981,0.05788217,-3.65859
0.0043,-0.3,0.00113076,-0.3988069,-0.001055747,-0.3170399,0.05087645,-5.47437
0.00435,-0.3,0.001489222,-0.3464547,-0.00171119,-0.2963391,0.04755506,-7.115366
0.0044,-0.3,0.00135871,-0.2971419,-0.002311028,-0.2974019,0.04772624,-8.530572
