scenario,omega_true_rad_s,wrap_crossing_count,theta_meas_min_rad,theta_meas_max_rad,theta_pred_min_rad,theta_pred_max_rad,theta_hat_min_rad,theta_hat_max_rad,theta_err_min_rad,theta_err_max_rad,max_abs_theta_err_rad,max_abs_speed_error_rad_s,theta_meas_range_pass,theta_pred_range_pass,theta_hat_range_pass,theta_err_range_pass,pass
positive_0_to_2pi_crossing,900,1,0.0250000000000004,6.27999999999999,0.0250000000000004,6.27999999999999,0.0250000000000004,6.27999999999999,-4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,5.57065504835919e-12,1,1,1,1,1
negative_2pi_to_0_crossing,-900,1,0.00318530717959398,6.25818530717959,0.00318530717959377,6.25818530717959,0.00318530717959377,6.25818530717959,-1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,7.73070496506989e-12,1,1,1,1,1
