module_id,phase_resistance_ohm,phase_inductance_h,target_bandwidth_hz,phase_margin_deg,delay_us,feasible,pi_phase_lag_deg,kp_v_per_a,ki_v_per_a_s,pole_cancel_kp_v_per_a,pole_cancel_ki_v_per_a_s,pole_cancel_pm_deg
1615,2.9,5.75e-05,2000,60,50,1,70.0090198690978,1.02174055995052,35293.7168771316,0.722566310325652,36442.4747816416,54
1615,2.9,5.75e-05,2000,60,75,1,52.0090198690978,1.83963343556339,29598.6739204453,0.722566310325652,36442.4747816416,36
1615,2.9,5.75e-05,2000,60,100,1,34.0090198690978,2.47745017302349,21006.3065343383,0.722566310325652,36442.4747816416,18
1620,1,2.75e-05,2000,60,50,1,64.9361201708547,0.448210558103201,12043.6027056062,0.345575191894877,12566.3706143592,54
1620,1,2.75e-05,2000,60,75,1,46.9361201708547,0.722435289905335,9713.64569826378,0.345575191894877,12566.3706143592,36
1620,1,2.75e-05,2000,60,100,1,28.9361201708547,0.925943022028894,6432.8493710261,0.345575191894877,12566.3706143592,18
