time_s,joint_pos_rad,joint_vel_rad_s,pos_error_rad,iq_cmd_a,iq_ref_a,iq_actual_a,motor_output_torque_nm,friction_torque_nm,net_torque_nm
0,1.45373896762023e-07,0.00290747793524045,0,0.21087571601428,0.21087571601428,0.0792410981121653,0.0751543132702861,-0.0020638267429,0.0772181400131861
5e-05,5.16588940391008e-07,0.0074243008725797,-1.45373896762023e-07,0.21087571601428,0.21087571601428,0.128705644667315,0.122067772524931,0.00210790567167194,0.119959866853259
0.0001,1.1573090688616e-06,0.0128144025694118,-5.16588940391008e-07,0.21087571601428,0.21087571601428,0.159582821084573,0.151352487712493,0.00819968078435682,0.143152806928137
0.00015,2.09048236634583e-06,0.0186634659496847,-1.1573090688616e-06,0.21087571601428,0.21087571601428,0.178857232555008,0.16963283960387,0.0142907166011188,0.155342123002751
0.0002,3.32847205563737e-06,0.0247597937858307,-2.09048236634583e-06,0.21087571601428,0.21087571601428,0.190888868236696,0.181043955031569,0.019134868564545,0.161909086467024
0.00025,4.87847188564806e-06,0.0309999966002139,-3.32847205563737e-06,0.21087571601428,0.21087571601428,0.198399357332506,0.188167097741185,0.0224369132430291,0.165730184498155
0.0003,6.7450039283679e-06,0.0373306408543967,-4.87847188564806e-06,0.21087571601428,0.21087571601428,0.203087618176719,0.192613565957463,0.0244813959870213,0.168132169970442
0.00035,8.93103064105994e-06,0.0437205342538409,-6.7450039283679e-06,0.21087571601428,0.21087571601428,0.206014163900037,0.195389177847379,0.0256834417497405,0.169705736097638
0.0004,1.14385056932458e-05,0.0501495010437164,-8.93103064105994e-06,0.21087571601428,0.21087571601428,0.207840996952905,0.197121793709837,0.0263783284874021,0.170743465222435
0.00045,1.4268698174626e-05,0.0566038496276048,-1.14385056932458e-05,0.21087571601428,0.21087571601428,0.208981358088035,0.198203341795774,0.0267857751811579,0.171417566614616
0.0005,1.74224083063533e-05,0.0630742026345469,-1.4268698174626e-05,0.21087571601428,0.21087571601428,0.20969320393321,0.198878474863374,0.027035855399619,0.171842619463755
0.00055,2.0900117672889e-05,0.0695541873307135,-1.74224083063533e-05,0.21087571601428,0.21087571601428,0.210137558350143,0.199299912120667,0.0272014898120828,0.172098422308584
0.0006,2.47020940447607e-05,0.0760395274374332,-2.0900117672889e-05,0.21087571601428,0.21087571601428,0.21041493701181,0.199562985239667,0.0273223314675536,0.172240653772114
