time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.2466242,0.03957639,0
5e-05,-0.3,0,0,0,-0.3885738,0.06235538,0
0.0001,-0.3,3.76295e-06,-0.2126661,-3.093448e-06,-0.3556947,0.05707919,-0.5754443
0.00015,-0.3,4.675594e-05,-0.3609305,-4.021765e-05,-0.2751327,0.04415122,-1.927235
0.0002,-0.3,0.0001315946,-0.3477804,-0.0001320852,-0.257113,0.04125956,-3.504998
0.00025,-0.3,0.0001628948,-0.2719145,-0.0002200824,-0.2968729,0.04763993,-4.85428
0.0003,-0.3,0.0001359895,-0.242528,-0.0002750402,-0.3343201,0.05364918,-5.99021
0.00035,-0.3,0.0001485026,-0.2696258,-0.0003496725,-0.3392372,0.05443825,-7.147624
0.0004,-0.3,0.0002131593,-0.301988,-0.0004730918,-0.3270049,0.05247533,-8.440407
0.00045,-0.3,0.0002451764,-0.3065796,-0.0006002719,-0.3222896,0.05171869,-9.802706
0.0005,0.3,0.0002045329,-0.2925759,-0.0006828686,0.1625598,0.0260866,-11.13521
0.00055,0.3,0.0001551666,-0.2827319,-0.0007390634,0.4348535,0.06978211,-12.41638
0.0006,0.3,-0.0008651879,0.1404428,2.633082e-05,0.3626983,0.05820308,-12.53512
0.00065,0.3,-0.001710657,0.4304583,0.001130752,0.199779,0.03205954,-11.12261
0.0007,0.3,-0.0009794116,0.4016385,0.001339032,0.1617429,0.02595617,-9.27646
0.00075,0.3,0.0004615672,0.2519282,0.0006178549,0.236725,0.03798797,-7.886248
0.0008,0.3,0.0009638397,0.1955864,-1.345109e-05,0.3057885,0.04907062,-6.912593
0.00085,0.3,0.0003589788,0.2500433,2.773799e-05,0.3104254,0.04981472,-5.890977
0.0009,0.3,-0.0002958984,0.3136187,0.0003962436,0.2817991,0.04522103,-4.601267
0.00095,0.3,-0.0002838536,0.3220243,0.0005263506,0.2684451,0.04307812,-3.17666
0.001,-0.3,0.0001340939,0.2941933,0.0003170737,-0.2123451,0.03407557,-1.812532
0.00105,-0.3,0.0003806024,0.2750132,5.097521e-05,-0.477729,0.07666234,-0.5493987
0.0011,-0.3,0.0003530734,-0.1458191,-0.0001064815,-0.4038472,0.06480635,-0.4588137
0.00115,-0.3,0.0001476356,-0.4294904,-0.0001046571,-0.2435996,0.03909102,-1.878193
0.0012,-0.3,7.218635e-05,-0.3983372,-0.0001124877,-0.2079397,0.03336859,-3.713702
0.00125,-0.3,9.25276e-05,-0.2506569,-0.000163366,-0.282815,0.04538402,-5.094651
0.0013,-0.3,0.00011025,-0.1966547,-0.000221716,-0.3505567,0.0562547,-6.068954
0.00135,-0.3,0.000179562,-0.251322,-0.0003308625,-0.3545151,0.05688993,-7.095915
0.0014,-0.3,0.0002791835,-0.3137695,-0.000497722,-0.3262109,0.05234793,-8.388288
0.00145,-0.3,0.000290764,-0.3214361,-0.000639342,-0.3133931,0.05029106,-9.81157
0.0015,0.3,0.0001907926,-0.2937909,-0.0006947368,0.1672716,0.02684271,-11.17357
0.00155,0.3,0.0001045307,-0.2751039,-0.000714099,0.4328705,0.06946388,-12.43624
0.0016,0.3,-0.0008943109,0.1455534,5.756906e-05,0.3591754,0.05763775,-12.5277
0.00165,0.3,-0.001689626,0.429389,0.001134539,0.1989184,0.03192144,-11.10907
0.0017,0.3,-0.0009420253,0.3984222,0.001319423,0.1631533,0.02618247,-9.273506
0.00175,0.3,0.0004715309,0.2507604,0.0006030994,0.2379733,0.03818827,-7.892128
0.0018,0.3,0.0009465022,0.1966685,-1.047732e-05,0.3057397,0.04906279,-6.917605
0.00185,0.3,0.0003419411,0.2512748,3.866869e-05,0.3097417,0.04970501,-5.890749
0.0019,0.3,-0.0002955794,0.3137355,0.0004009674,0.281449,0.04516486,-4.59855
0.00195,0.3,-0.0002739588,0.3214419,0.0005230514,0.2686146,0.04310533,-3.175313
0.002,-0.3,0.0001394702,0.2938117,0.0003128071,-0.212065,0.03403063,-1.813244
0.00205,-0.3,0.0003784429,0.2751121,5.035981e-05,-0.4776635,0.07665183,-0.5505164
0.0021,-0.3,0.0003490057,-0.1455617,-0.0001045064,-0.4039587,0.06482425,-0.4590604
0.00215,-0.3,0.0001465809,-0.4293996,-0.0001032342,-0.2436959,0.03910649,-1.877741
0.0022,-0.3,7.370953e-05,-0.3984229,-0.000112685,-0.2079339,0.03336766,-3.71332
