case_name,bandwidth_hz,phase_margin_deg,design_delay_us,sim_delay_us,kp,ki,pi_phase_lag_deg,pole_cancel_pm_deg,square_stable,square_rmse_a,square_max_abs_error_a,square_iq_peak_pos_a,square_iq_peak_neg_a,square_voltage_norm_max,step_stable,step_overshoot_ratio,step_settling_time_ms,step_final_iq_a,score
1615_1200hz_pm60_td075us,1200,60,75,50,0.554598893958672,21709.4214434268,79.0974513234775,57.6,1,0.224465327320184,0.607048086573958,0.445258311779236,-0.456962548972159,0.214869327903389,1,0.251359749889842,0.696,1.50000000005516,0.265249436942924
1615_1200hz_pm60_td075us,1200,60,75,75,0.554598893958672,21709.4214434268,79.0974513234775,57.6,1,0.226517137301394,0.619044502356437,0.485622518383759,-0.505737559506973,0.237969840409796,1,0.324579910119041,0.974,1.49999999589868,0.2835211304093
1615_1200hz_pm60_td075us,1200,60,75,100,0.554598893958672,21709.4214434268,79.0974513234775,57.6,1,0.267286427531397,0.633244392096646,0.725108520270957,-0.744322957037763,0.346725559687584,0,0.432545946910574,2.169,1.4998237164941,5.46749370972078
1615_1200hz_pm65_td075us,1200,65,75,50,0.803436133790633,21262.3620785405,74.0974513234775,57.6,1,0.209706806607744,0.600821424769271,0.398293596790677,-0.401817921974685,0.188340426618208,1,0.165328609988366,0.606,1.5,0.230070391002681
1615_1200hz_pm65_td075us,1200,65,75,75,0.803436133790633,21262.3620785405,74.0974513234775,57.6,1,0.210147958617986,0.605730093153487,0.43659645160587,-0.445615370463729,0.209034845971938,1,0.227026516342453,0.679,1.50000000001135,0.226590323031906
1615_1200hz_pm65_td075us,1200,65,75,100,0.803436133790633,21262.3620785405,74.0974513234775,57.6,1,0.232818963959354,0.616447004322327,0.622511106056554,-0.659457450143726,0.309720317638035,0,0.432487250138167,1.704,1.5000267731496,5.39528648773395
1615_1200hz_pm70_td075us,1200,70,75,50,1.04615873951644,20653.4832996712,69.0974513234775,57.6,1,0.195844806039061,0.60000969217729,0.349323796858618,-0.349795229296803,0.163435285973771,1,0.0824728898430869,0.375,1.5,0.215844806039061
1615_1200hz_pm70_td075us,1200,70,75,75,1.04615873951644,20653.4832996712,69.0974513234775,57.6,1,0.195675361003835,0.599628389399444,0.387400796461033,-0.389713369764373,0.182211692819151,1,0.146542435613473,0.409,1.5,0.195675361003835
1615_1200hz_pm70_td075us,1200,70,75,100,1.04615873951644,20653.4832996712,69.0974513234775,57.6,1,0.206619263270537,0.594838129337426,0.546321949348499,-0.580655365775299,0.271827830676678,0,0.408423868397467,1.265,1.4999994941104,5.33185319339466
1615_1500hz_pm60_td075us,1500,60,75,50,1.06133317692828,25943.4099878749,68.9151860478111,49.5,1,0.194666132373539,0.580972515802653,0.447433618525364,-0.449576926113547,0.21295864955115,1,0.259749241328549,0.564,1.50000000000027,0.236505551633458
1615_1500hz_pm60_td075us,1500,60,75,75,1.06133317692828,25943.4099878749,68.9151860478111,49.5,1,0.195609605141515,0.553662149392499,0.488767444368805,-0.495057752958046,0.233776822276473,1,0.342632460619992,0.826,1.50000000053823,0.255545759761884
1615_1500hz_pm60_td075us,1500,60,75,100,1.06133317692828,25943.4099878749,68.9151860478111,49.5,1,0.224025569314515,0.525408023529799,0.643256835931536,-0.750995076045253,0.350053925734329,0,0.432545042829271,2.478,1.5001631605919,5.40935121241719
1615_1500hz_pm65_td075us,1500,65,75,50,1.29720646644624,24972.8834426449,63.9151860478111,49.5,1,0.181576592539662,0.596711508404583,0.40549135718299,-0.404303524223062,0.19046485989484,1,0.177762380840627,0.474,1.5,0.203535568820873
1615_1500hz_pm65_td075us,1500,65,75,75,1.29720646644624,24972.8834426449,63.9151860478111,49.5,1,0.183911600728677,0.583808421025423,0.445827491578339,-0.447787246696432,0.211227117570931,1,0.254406693609107,0.56,1.49999999999979,0.203736221785908
1615_1500hz_pm65_td075us,1500,65,75,100,1.29720646644624,24972.8834426449,63.9151860478111,49.5,1,0.205818841058014,0.521771851278443,0.586121275135265,-0.669011269787573,0.315105223298213,0,0.43248386077791,1.758,1.50000963532557,5.36294531523706
1615_1500hz_pm70_td075us,1500,70,75,50,1.52320723147985,23812.2981753771,58.9151860478111,49.5,1,0.16887082366122,0.600772812406466,0.350077362371477,-0.350069430349323,0.165139529370607,1,0.0833258379515711,0.261,1.5,0.18887082366122
1615_1500hz_pm70_td075us,1500,70,75,75,1.52320723147985,23812.2981753771,58.9151860478111,49.5,1,0.17208564803306,0.599165224502074,0.401853055451027,-0.400737635551257,0.188022253064662,1,0.17058204606147,0.456,1.5,0.172603786233517
1615_1500hz_pm70_td075us,1500,70,75,100,1.52320723147985,23812.2981753771,58.9151860478111,49.5,1,0.19252805823857,0.511371350529425,0.547559134365838,-0.594716942761955,0.278820100347959,0,0.431873331871153,1.319,1.50000071710193,5.32671110663192
