case_name,kp,ki,square_stable_all,step_stable_all,worst_square_peak_abs_a,worst_step_overshoot_ratio,score_75us
1620_1500hz_pm70_td075us,0.59297538491605,7972.46634862923,1,1,0.565383208747421,0.46468930701277,0.175346358550416
1620_1200hz_pm70_td075us,0.417243553169305,7028.23001854637,1,1,0.558324933985993,0.38652106612792,0.196553108240285
1620_1500hz_pm65_td075us,0.516993460165745,8429.21263718806,1,0,0.641788396292513,0.565152155230839,0.20225620853789
1620_1200hz_pm65_td075us,0.334413767919854,7275.67241709422,1,1,0.635851217985739,0.481201999726464,0.225469565176901
1620_1500hz_pm60_td075us,0.437076903014392,8821.80752788014,1,0,0.713635635502657,0.666952670312687,0.248933782500932
1620_1200hz_pm60_td075us,0.249038891971979,7467.74255537688,1,0,0.716801974594106,0.580410879220881,0.279803770653807
