time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.1550981,0.02488896,0
5e-05,-0.3,0,0,0,-0.2815362,0.0451788,0
0.0001,-0.3,7.341355e-06,-0.1337423,-3.795432e-06,-0.3388305,0.05437296,-0.3618878
0.00015,-0.3,0.0001087874,-0.2590341,-5.933646e-05,-0.3441266,0.05522283,-1.298732
0.0002,-0.3,0.0004221179,-0.3218967,-0.0002671759,-0.3288925,0.05277821,-2.626702
0.00025,-0.3,0.0008366498,-0.3306636,-0.0006593922,-0.3151315,0.05057003,-4.08929
0.0003,-0.3,0.001115898,-0.3143137,-0.001156377,-0.3106608,0.04985285,-5.523103
0.00035,-0.3,0.001171921,-0.2960642,-0.001655647,-0.314063,0.05039916,-6.878694
0.0004,-0.3,0.00110202,-0.2858133,-0.002113428,-0.3210215,0.05151622,-8.174352
0.00045,-0.3,0.001041126,-0.2835672,-0.002546404,-0.3281618,0.05266252,-9.445848
0.0005,0.3,0.001048018,-0.2854975,-0.002988761,-0.02389359,0.003864144,-10.71861
0.00055,0.3,0.001103478,-0.2881224,-0.003459131,0.2242276,0.03598663,-12.00187
0.0006,0.3,-0.001988418,-0.02229402,-0.002325714,0.3346665,0.05370605,-12.57045
0.00065,0.3,-0.005682232,0.227791,0.0004220034,0.3412085,0.0547546,-11.99338
0.0007,0.3,-0.006454836,0.3537332,0.003216272,0.3065305,0.0491924,-10.63436
0.00075,0.3,-0.003941888,0.3716915,0.004637553,0.2745997,0.04407197,-9.004592
0.0008,0.3,-0.0004100259,0.3392996,0.004472954,0.261131,0.04191047,-7.430804
0.00085,0.3,0.001983736,0.3028975,0.003408205,0.2633874,0.04226995,-6.012657
0.0009,0.3,0.002630796,0.2823442,0.002237612,0.2727921,0.04377708,-4.714338
0.00095,0.3,0.002123985,0.2777566,0.001390853,0.2826051,0.04535087,-3.464687
0.001,-0.3,0.001330806,0.2815492,0.0009057453,-0.02017704,0.003241119,-2.212865
0.00105,-0.3,0.0007944033,0.286777,0.0006221797,-0.2679799,0.0430035,-0.940206
0.0011,-0.3,0.0008962937,0.02257714,0.0002346933,-0.3786937,0.06076991,-0.3732123
0.00115,-0.3,0.0007855436,-0.2270443,-8.580214e-05,-0.3855946,0.0618773,-0.947734
0.0012,-0.3,0.0006624069,-0.3531672,-0.000353217,-0.3511378,0.05634797,-2.303884
0.00125,-0.3,0.0008372366,-0.3714362,-0.0007227813,-0.319285,0.05123657,-3.931961
0.0013,-0.3,0.001079332,-0.33925,-0.001200805,-0.3058175,0.04907565,-5.505176
0.00135,-0.3,0.001134362,-0.3029322,-0.001684151,-0.3080512,0.04943447,-6.92334
0.0014,-0.3,0.001044033,-0.2823951,-0.002115541,-0.3174329,0.05094037,-8.221865
0.00145,-0.3,0.0009770114,-0.2777991,-0.00252091,-0.3272288,0.05251276,-9.471724
0.0015,0.3,0.001012033,-0.2815785,-0.002950788,-0.02443558,0.003949724,-10.7237
0.00155,0.3,0.001110759,-0.2867945,-0.00342836,0.2233735,0.03584952,-11.99646
0.0016,0.3,-0.001950804,-0.02260511,-0.002313694,0.3341001,0.05361515,-12.56354
0.00165,0.3,-0.005639782,0.226994,0.0004156712,0.3410244,0.05472505,-11.98917
0.0017,0.3,-0.006430805,0.3531289,0.003201571,0.3065826,0.04920074,-10.63319
0.00175,0.3,-0.003941741,0.3714509,0.004625072,0.2747185,0.044091,-9.005144
0.0018,0.3,-0.0004234686,0.3393147,0.004467437,0.261219,0.04192457,-7.431738
0.00185,0.3,0.001970336,0.3030049,0.003408331,0.2634213,0.0422754,-6.013275
0.0019,0.3,0.002623573,0.2824356,0.002240193,0.2727891,0.0437766,-4.714519
0.00195,0.3,0.002122831,0.2777984,0.001393341,0.2825892,0.04534833,-3.464594
0.002,-0.3,0.001333293,0.2815517,0.0009068371,-0.02019021,0.003243238,-2.212691
0.00205,-0.3,0.0007970631,0.2867632,0.0006221339,-0.2679856,0.04300442,-0.940065
0.0021,-0.3,0.0008975088,0.02256344,0.0002342734,-0.3786937,0.06076992,-0.3731326
0.00215,-0.3,0.0007858742,-0.2270513,-8.627688e-05,-0.3855923,0.06187694,-0.9476975
0.0022,-0.3,0.0006621331,-0.3531682,-0.0003535186,-0.3511357,0.05634763,-2.303862
0.00225,-0.3,0.0008370616,-0.3714342,-0.0007230185,-0.319284,0.05123641,-3.931936
0.0023,-0.3,0.001079179,-0.3392481,-0.00120098,-0.3058173,0.04907563,-5.505142
0.00235,-0.3,0.001134012,-0.3029311,-0.00168416,-0.3080514,0.0494345,-6.923299
0.0024,-0.3,0.00104415,-0.2823947,-0.002115643,-0.3174333,0.05094042,-8.221822
0.00245,-0.3,0.0009767823,-0.2777994,-0.002520883,-0.327229,0.05251279,-9.471681
0.0025,0.3,0.001011614,-0.281579,-0.002950566,-0.02443552,0.003949711,-10.72366
0.00255,0.3,0.001110796,-0.2867949,-0.003428198,0.2233737,0.03584954,-11.99642
0.0026,0.3,-0.001950481,-0.02260527,-0.002313694,0.3341003,0.05361518,-12.5635
0.00265,0.3,-0.005639836,0.2269942,0.0004157289,0.3410245,0.05472507,-11.98913
0.0027,0.3,-0.006430857,0.3531292,0.00320165,0.3065826,0.04920074,-10.63315
0.00275,0.3,-0.003941525,0.3714508,0.004625035,0.2747186,0.044091,-9.005104
0.0028,0.3,-0.0004234873,0.3393148,0.00446743,0.261219,0.04192458,-7.431699
0.00285,0.3,0.001970008,0.3030047,0.003408492,0.2634214,0.04227542,-6.013235
0.0029,0.3,0.00262329,0.2824356,0.002240469,0.2727892,0.04377662,-4.71448
0.00295,0.3,0.002123006,0.2777984,0.001393499,0.2825892,0.04534833,-3.464554
0.003,-0.3,0.001333419,0.2815517,0.000906947,-0.02019018,0.003243235,-2.212651
0.00305,-0.3,0.0007974356,0.2867628,0.0006220632,-0.2679855,0.04300439,-0.9400265
0.0031,-0.3,0.0008976683,0.02256354,0.0002341559,-0.3786936,0.0607699,-0.3730945
0.00315,-0.3,0.0007858723,-0.2270513,-8.637822e-05,-0.3855922,0.06187692,-0.9476591
0.0032,-0.3,0.0006619394,-0.3531685,-0.0003535199,-0.3511354,0.05634758,-2.303825
0.00325,-0.3,0.00083673,-0.3714344,-0.000722867,-0.3192836,0.05123635,-3.931899
0.0033,-0.3,0.00107909,-0.3392479,-0.001200814,-0.3058171,0.04907559,-5.505105
0.00335,-0.3,0.001133952,-0.302931,-0.001683972,-0.3080512,0.04943447,-6.923262
0.0034,-0.3,0.00104402,-0.2823946,-0.002115394,-0.3174331,0.0509404,-8.221784
0.00345,-0.3,0.0009769686,-0.2777995,-0.002520742,-0.3272287,0.05251275,-9.471642
0.0035,0.3,0.001011886,-0.2815791,-0.002950547,-0.02443528,0.003949672,-10.72362
0.00355,0.3,0.001110978,-0.2867947,-0.003428248,0.2233738,0.03584956,-11.99638
0.0036,0.3,-0.001950543,-0.02260511,-0.002313695,0.3341004,0.0536152,-12.56346
0.00365,0.3,-0.005640112,0.2269942,0.0004158651,0.3410246,0.05472508,-11.9891
0.0037,0.3,-0.006430864,0.353129,0.003201764,0.3065828,0.04920077,-10.63312
0.00375,0.3,-0.003941655,0.3714511,0.004625215,0.2747186,0.04409102,-9.005066
0.0038,0.3,-0.0004231408,0.3393148,0.004467419,0.2612191,0.0419246,-7.43166
0.00385,0.3,0.001970507,0.3030046,0.003408256,0.2634216,0.04227544,-6.013197
0.0039,0.3,0.002623454,0.2824354,0.002240195,0.2727894,0.04377666,-4.714442
0.00395,0.3,0.002122454,0.2777985,0.001393527,0.2825894,0.04534836,-3.464517
0.004,-0.3,0.001332924,0.2815517,0.0009071777,-0.02019,0.003243207,-2.212614
0.00405,-0.3,0.0007974058,0.286763,0.0006222621,-0.2679854,0.04300439,-0.9399883
0.0041,-0.3,0.0008976283,0.02256336,0.0002343725,-0.3786934,0.06076986,-0.3730564
0.00415,-0.3,0.0007859059,-0.2270512,-8.618267e-05,-0.3855921,0.0618769,-0.9476212
0.0042,-0.3,0.0006621331,-0.3531682,-0.0003534214,-0.3511355,0.05634759,-2.303786
0.00425,-0.3,0.0008368045,-0.3714345,-0.0007227884,-0.3192836,0.05123635,-3.93186
0.0043,-0.3,0.001079157,-0.3392481,-0.001200763,-0.3058169,0.04907557,-5.505066
0.00435,-0.3,0.001134261,-0.3029311,-0.001684074,-0.3080511,0.04943445,-6.923224
0.0044,-0.3,0.001044244,-0.2823946,-0.002115582,-0.317433,0.05094038,-8.221745
0.00445,-0.3,0.0009768456,-0.2777995,-0.002520845,-0.3272286,0.05251274,-9.471604
0.0045,0.3,0.001011707,-0.2815789,-0.00295057,-0.02443528,0.003949672,-10.72358
0.00455,0.3,0.001110815,-0.2867945,-0.003428203,0.2233738,0.03584955,-11.99634
0.0046,0.3,-0.001950511,-0.02260504,-0.002313682,0.3341003,0.05361518,-12.56342
0.00465,0.3,-0.005639892,0.2269939,0.0004157673,0.3410246,0.05472509,-11.98906
0.0047,0.3,-0.006430693,0.3531288,0.003201599,0.3065829,0.04920079,-10.63308
0.00475,0.3,-0.003941603,0.3714507,0.004625039,0.2747189,0.04409106,-9.005029
0.0048,0.3,-0.0004232526,0.3393148,0.004467306,0.2612193,0.04192463,-7.431623
0.00485,0.3,0.001969986,0.3030047,0.003408401,0.2634218,0.04227547,-6.01316
0.0049,0.3,0.002623506,0.2824356,0.002240264,0.2727895,0.04377667,-4.714405
0.00495,0.3,0.002123065,0.2777984,0.001393284,0.2825896,0.04534839,-3.464479
0.005,-0.3,0.001333289,0.2815521,0.0009068053,-0.02019006,0.003243214,-2.212575
0.00505,-0.3,0.000797309,0.286763,0.0006219746,-0.2679854,0.04300438,-0.9399492
0.0051,-0.3,0.0008974378,0.02256324,0.0002341743,-0.3786933,0.06076985,-0.3730178
0.00515,-0.3,0.0007856414,-0.2270513,-8.626244e-05,-0.385592,0.06187689,-0.947583
0.0052,-0.3,0.0006619021,-0.3531683,-0.000353407,-0.3511353,0.05634758,-2.303748
0.00525,-0.3,0.0008368865,-0.3714343,-0.0007228384,-0.3192836,0.05123635,-3.931822
0.0053,-0.3,0.001079321,-0.3392481,-0.00120089,-0.3058169,0.04907557,-5.505028
0.00535,-0.3,0.001133926,-0.3029314,-0.001684012,-0.3080509,0.04943442,-6.923187
