time_s,iq_ref_a,id_a,iq_a,vd_v,vq_v,voltage_mag_norm,wm_rad_per_s
0,-0.3,0,0,0,-0.1251731,0.02008683,0
5e-05,-0.3,0,0,0,-0.2305965,0.03700439,0
0.0001,-0.3,4.815192e-06,-0.1079377,-2.009108e-06,-0.2909837,0.04669486,-0.2920641
0.00015,-0.3,7.215756e-05,-0.2119703,-3.179939e-05,-0.3150696,0.05055999,-1.056039
0.0002,-0.3,0.0002950245,-0.275258,-0.0001501462,-0.3195979,0.05128666,-2.174785
0.00025,-0.3,0.0006412026,-0.3009055,-0.0003982617,-0.3175913,0.05096468,-3.474576
0.0003,-0.3,0.0009732452,-0.3042693,-0.0007621304,-0.3158696,0.05068851,-4.828714
0.00035,-0.3,0.00118807,-0.2989476,-0.001193774,-0.3165898,0.05080429,-6.174388
0.0004,-0.3,0.001277706,-0.2927716,-0.001648676,-0.3195365,0.05127748,-7.493962
0.00045,-0.3,0.00129305,-0.2886691,-0.002104079,-0.3237884,0.05196021,-8.79154
0.0005,0.3,0.001289143,-0.2868211,-0.002556841,-0.07819515,0.01255487,-10.07688
0.00055,0.3,0.001295192,-0.2864279,-0.003012385,0.1278565,0.02052313,-11.3579
0.0006,0.3,-0.001092705,-0.07080568,-0.002471196,0.243967,0.03915199,-12.05476
0.00065,0.3,-0.004054268,0.1368803,-0.0008515136,0.2876168,0.04615476,-11.80927
0.0007,0.3,-0.005316047,0.263195,0.001099672,0.2922349,0.04689598,-10.85561
0.00075,0.3,-0.004388175,0.3143904,0.002580643,0.2838077,0.04554519,-9.5406
0.0008,0.3,-0.002297265,0.3211206,0.003250279,0.2759426,0.04428425,-8.117077
0.00085,0.3,-0.0002821051,0.3105072,0.003216752,0.272949,0.04380383,-6.710405
0.0009,0.3,0.001004461,0.298171,0.002779076,0.2744038,0.0440365,-5.355835
0.00095,0.3,0.00152763,0.2899609,0.002207808,0.2784722,0.04468851,-4.045242
0.001,-0.3,0.001559215,0.2862502,0.001657802,0.03320213,0.005334664,-2.759171
