sample_time_us,pll_bandwidth_hz,pll_kp,pll_ki,noise_std_count,motor_speed_noise_std_rad_s,joint_speed_noise_std_rad_s,noise_ratio_vs_600hz
50,120,1507.9644737231,568489.213502747,0,2.1093302260528e-08,1.15043917428568e-10,0.04
50,240,3015.9289474462,2273956.85401099,0,9.58550512489032e-13,5.22798206975201e-15,0.16
50,360,4523.8934211693,5116402.92152472,0,1.20860429625395e-12,6.5917878170382e-15,0.36
50,480,6031.8578948924,9095827.41604395,0,1.55349236193932e-12,8.47282444471952e-15,0.64
50,600,7539.8223686155,14212230.3375687,0,2.02139154816471e-12,1.10247698290958e-14,1
50,720,9047.7868423386,20465611.6860989,0,2.7624088985546e-12,1.50663152361854e-14,1.44
50,120,1507.9644737231,568489.213502747,0.25,0.00186562279954869,1.01751993430526e-05,0.04
50,240,3015.9289474462,2273956.85401099,0.25,0.00507516185331008,2.76801846376334e-05,0.16
50,360,4523.8934211693,5116402.92152472,0.25,0.0102442036507158,5.58723951497997e-05,0.36
50,480,6031.8578948924,9095827.41604395,0.25,0.0156340488630619,8.52688784459333e-05,0.64
50,600,7539.8223686155,14212230.3375687,0.25,0.0221475061397404,0.000120793597707883,1
50,720,9047.7868423386,20465611.6860989,0.25,0.0286789051959607,0.000156416172325938,1.44
50,120,1507.9644737231,568489.213502747,0.5,0.00366246094957371,1.99752437936935e-05,0.04
50,240,3015.9289474462,2273956.85401099,0.5,0.0106198389280654,5.79211285959387e-05,0.16
50,360,4523.8934211693,5116402.92152472,0.5,0.0190166424428538,0.000103717711714501,0.36
50,480,6031.8578948924,9095827.41604395,0.5,0.0291577702998729,0.000159027926369637,0.64
50,600,7539.8223686155,14212230.3375687,0.5,0.0435759086444058,0.000237665168499623,1
50,720,9047.7868423386,20465611.6860989,0.5,0.0597269906520745,0.000325753971377554,1.44
50,120,1507.9644737231,568489.213502747,1,0.00749620509470721,4.08846746370723e-05,0.04
50,240,3015.9289474462,2273956.85401099,1,0.0204351709948661,0.000111454436841375,0.16
50,360,4523.8934211693,5116402.92152472,1,0.040365364967216,0.000220154703939002,0.36
50,480,6031.8578948924,9095827.41604395,1,0.0602214271696445,0.000328450652684181,0.64
50,600,7539.8223686155,14212230.3375687,1,0.0870234004445519,0.000474629945157087,1
50,720,9047.7868423386,20465611.6860989,1,0.118292266417527,0.00064517189210541,1.44
50,120,1507.9644737231,568489.213502747,2,0.0153702140114428,8.38299100705909e-05,0.04
50,240,3015.9289474462,2273956.85401099,2,0.0395455807444883,0.000215683560100836,0.16
50,360,4523.8934211693,5116402.92152472,2,0.0709224804170972,0.000386814728208875,0.36
50,480,6031.8578948924,9095827.41604395,2,0.116775558998833,0.000636899694566854,0.64
50,600,7539.8223686155,14212230.3375687,2,0.16577700412572,0.000904156008321354,1
50,720,9047.7868423386,20465611.6860989,2,0.238522314668692,0.00130091254250718,1.44
