case_name,h1_A,h2_A,h1_id_A,h1_iq_A,h2_id_A,h2_iq_A,rms_ac_id_A,rms_ac_iq_A
nominal,1.5874654611387e-18,1.29021533904689e-16,3.59007940148683e-19,1.54633757285352e-18,9.53659525153564e-17,8.69016185807703e-17,1.13944850032479e-16,2.58927241097708e-16
offset_fault,0.0899382504215462,1.270912026315e-16,0.0635959467611292,0.0635959467611292,9.44854686868259e-17,8.49980587622561e-17,0.0449691252107734,0.0449691252107735
gain_mismatch_fault,8.49431995794214e-18,0.0561248608016091,5.88872673569166e-18,6.12179458821058e-18,0.0396862696659688,0.039686269665969,0.0280624304008045,0.0280624304008046
noise_fault,0.000561289062773804,0.000629295098445504,0.000295168221228119,0.00047741086410609,0.000460805921902562,0.000428567641413891,0.0245512157073491,0.0245046894311236
pwm_ripple_fault,7.84054475998136e-17,1.27581337938994e-16,7.77969952472547e-17,9.74893552269943e-18,9.5137491051835e-17,8.50050327137512e-17,0.0212132034355964,0.0212132034355964
