axis,t_s,v_V,i_A
d,0.0032,1.49955555549644,3.55719166356434
d,0.00325,1.50575866518765,3.55809336214924
d,0.0033,1.4988778786417,3.55826619838146
d,0.00335,1.50567664395935,3.55814691686047
d,0.0034,1.50186198395652,3.55725971874867
d,0.00345,1.4961419010282,3.56027625241449
d,0.0035,1.49854411928758,3.56353622344821
d,0.00355,1.4973699229658,3.56220168201541
d,0.0036,1.50198101926309,3.55860387914001
d,0.00365,1.49930202889483,3.56702978025099
d,0.0037,1.4978531119351,3.5630683746176
d,0.00375,1.49863465542836,3.56661267378652
d,0.0038,1.50253141231363,3.56217847181205
d,0.00385,1.49998181263421,3.56950956188778
d,0.0039,1.49918131264103,3.56555101785527
d,0.00395,1.50384721248944,3.567506929327
d,0.004,1.50491438761289,3.56868231086168
d,0.00405,1.49754888397485,3.56632000067703
d,0.0041,1.49929985710382,3.57094798384037
d,0.00415,1.49845000546135,3.56586877259774
d,0.0042,1.49724046910119,3.56831271127173
d,0.00425,1.50043248603866,3.5676770875643
d,0.0043,1.49744719257111,3.56808710247825
d,0.00435,1.50213082171332,3.5708448678788
d,0.0044,1.50265418173499,3.56882509901286
d,0.00445,1.49181903967746,3.57046467377391
d,0.0045,1.50122718696378,3.57191839711038
d,0.00455,1.50165062440593,3.56919481783091
d,0.0046,1.49961758947381,3.5681175254888
d,0.00465,1.50033394646884,3.56604163956371
d,0.0047,1.49786015986217,3.56761235326322
d,0.00475,1.50277318713231,3.56807169033289
d,0.0048,1.5010186167405,3.56970760152993
d,0.00485,1.5033053467559,3.57392565839168
d,0.0049,1.50377732037697,3.5692658318101
d,0.00495,1.4996498043547,3.57279651367573
d,0.005,1.49895738011578,3.57157425080813
d,0.00505,1.49624267588593,3.56838738082258
d,0.0051,1.50297425679126,3.57139522063726
d,0.00515,1.49339312895089,3.57259832193997
d,0.0052,1.49751083918943,3.57431948669925
d,0.00525,1.4986697300256,3.57249970864629
d,0.0053,1.4993615659346,3.57337808524308
d,0.00535,1.49430700539543,3.56988535134708
d,0.0054,1.50230357152605,3.5714733690499
d,0.00545,1.50296299675739,3.56934735694446
d,0.0055,1.50124858315059,3.57012114186699
d,0.00555,1.50271041075595,3.5729916018255
d,0.0056,1.4976301576151,3.57215337352872
d,0.00565,1.4981692433524,3.57277264390779
d,0.0057,1.49493763306851,3.56905963238496
d,0.00575,1.50179230667013,3.56652319322518
d,0.0058,1.50458594159591,3.57471001684507
d,0.00585,1.50369454211548,3.57298562272516
d,0.0059,1.49963397523938,3.57440583411592
d,0.00595,1.50166645292851,3.57393594901339
d,0.006,1.49871912354952,3.57209267323938
d,0.00605,1.50502379424618,3.57112404548345
d,0.0061,1.49585018857721,3.56762498216862
d,0.00615,1.50080919747357,3.57098618120796
d,0.0062,1.50180143581129,3.57173140641017
d,0.00625,1.49888574112027,3.57195048210189
d,0.0063,1.49970554110706,3.57060895979653
d,0.00635,1.5024640347351,3.56914789527108
d,0.0064,1.49861403865629,3.57341901156389
d,0.00645,1.50480588301914,3.57031394346117
d,0.0065,1.5030165796502,3.56957286852632
d,0.00655,1.4980939417166,3.56709381029042
d,0.0066,1.49452240437805,3.56807201502333
d,0.00665,1.50227523478261,3.56591364844632
d,0.0067,1.49284518351868,3.56963884765079
d,0.00675,1.49479466206546,3.56901600848754
d,0.0068,1.50112188815949,3.56830087412795
d,0.00685,1.50068636452656,3.56953448277873
d,0.0069,1.49858841003464,3.5719878736206
d,0.00695,1.49956662569321,3.56988257063407
d,0.007,1.49364352861701,3.57010214363324
d,0.00705,1.49921057645368,3.57169040364876
d,0.0071,1.49934966065348,3.57037164181824
d,0.00715,1.49919505900584,3.57171233035967
d,0.0072,1.50074826008906,3.57004324259776
d,0.00725,1.50167703270824,3.56976479846993
d,0.0073,1.49427301988779,3.57154692991755
d,0.00735,1.5004747353655,3.5719534855245
d,0.0074,1.49902435552911,3.57171935704802
d,0.00745,1.50483176411728,3.57183557531809
d,0.0075,1.49669143445058,3.56897996257698
d,0.00755,1.50146124475735,3.57169840915247
d,0.0076,1.49887972257239,3.57108700452167
d,0.00765,1.5016285829469,3.57071562642003
d,0.0077,1.49998844409298,3.57080828228442
d,0.00775,1.49777488184207,3.5675183504214
d,0.0078,1.49816475408545,3.57128003370962
d,0.00785,1.49866044669445,3.56911221272619
d,0.0079,1.50252518132641,3.56774852124743
d,0.00795,1.50603112498359,3.57222311383091
d,0.008,1.49473806183323,3.56976892705033
d,0.00805,1.49714015315273,3.57172515190604
d,0.0081,1.4968818096897,3.57234954219694
d,0.00815,1.50007888025191,3.57267507058822
d,0.0082,1.50248968721629,3.57149560343227
d,0.00825,1.4948966544972,3.56902917857135
d,0.0083,1.49919823453935,3.56961952923365
d,0.00835,1.5000506705121,3.57081255177082
d,0.0084,1.49751806584531,3.57383324490531
d,0.00845,1.49516012406619,3.57400258240621
d,0.0085,1.49482226507365,3.56823404142188
d,0.00855,1.49962130069342,3.57533802516329
d,0.0086,1.50259778248063,3.57070972419104
d,0.00865,1.50042778766196,3.568390200174
d,0.0087,1.50168989607213,3.57155334942021
d,0.00875,1.49993750731339,3.57130288681816
d,0.0088,1.50070718389508,3.57438098242014
d,0.00885,1.49574129683559,3.56970645130011
d,0.0089,1.49747747507427,3.57182469449857
d,0.00895,1.49982618101486,3.56923086970215
d,0.009,1.50281350590143,3.56966664031962
d,0.00905,1.4934831035392,3.57339716419872
d,0.0091,1.50323301344396,3.57287836171728
d,0.00915,1.50094616389365,3.57101074212333
d,0.0092,1.50028940478002,3.56839717678943
d,0.00925,1.50433007468904,3.57201378686324
d,0.0093,1.49866887554719,3.56712207352453
d,0.00935,1.50435461011258,3.56967944372871
d,0.0094,1.50065038412493,3.5709259128759
d,0.00945,1.49795843125022,3.56763421458804
d,0.0095,1.50402777386235,3.56950098251649
d,0.00955,1.50457274767576,3.56668225219446
d,0.0096,1.50109545773737,3.57105676634383
d,0.00965,1.49864940443877,3.57125836414709
d,0.0097,1.50529015695535,3.56967454140434
d,0.00975,1.50266673876525,3.57027869061995
d,0.0098,1.4948370439135,3.57227823512386
d,0.00985,1.50093792066601,3.5688819987091
d,0.0099,1.5004998926605,3.57105911387124
d,0.00995,1.50302841927465,3.5700660278017
d,0.01,1.50018812719921,3.57006657300897
d,0.01005,1.50280575801712,3.56971108663559
d,0.0101,1.50264769992047,3.56888440828532
d,0.01015,1.50544001544627,3.57241014527707
d,0.0102,1.50570421731622,3.57158652214148
d,0.01025,1.49614884705175,3.5703547217545
d,0.0103,1.49835418977901,3.57445691084387
d,0.01035,1.50599032098154,3.57024632987843
d,0.0104,1.50079674779713,3.5734619814886
d,0.01045,1.50388793702874,3.57213310318946
d,0.0105,1.50086360453128,3.56965009470722
d,0.01055,1.50046262511159,3.57348106728119
d,0.0106,1.49820160555145,3.56917311460872
d,0.01065,1.50075137634747,3.57136842284825
d,0.0107,1.50232209450326,3.57135413732455
d,0.01075,1.50282393924719,3.57195305290138
d,0.0108,1.49938357182061,3.56902438031817
d,0.01085,1.49267384242202,3.5751599402221
d,0.0109,1.50310946011218,3.57530109058146
d,0.01095,1.50082039990429,3.57158371521661
d,0.011,1.4986918628421,3.57225022930307
d,0.01105,1.50769167502269,3.57130339459945
d,0.0111,1.50126275288892,3.57142299253757
d,0.01115,1.49755777670167,3.5700670248943
d,0.0112,1.49994459550018,3.57180741046718
d,0.01125,1.49790186843029,3.56807305811682
d,0.0113,1.50261657839314,3.57495713116412
d,0.01135,1.49702206070167,3.57316557183811
d,0.0114,1.50165027172523,3.5697235543793
d,0.01145,1.50737714287678,3.57122147147808
d,0.0115,1.49573442805679,3.56813540310648
d,0.01155,1.49639151448141,3.56973126856799
d,0.0116,1.49537340210482,3.57289600816764
d,0.01165,1.50192211174503,3.57124066988438
d,0.0117,1.49727386835624,3.56860243447927
d,0.01175,1.49855724071877,3.57248069611551
d,0.0118,1.49497050712936,3.57121339483315
d,0.01185,1.49704960896029,3.56743848651561
d,0.0119,1.49958654370337,3.57125058677501
d,0.01195,1.49660552753115,3.56913468655028
d,0.012,1.49687712941424,3.57167957423423
d,0.01205,1.49962603834496,3.57519184460173
d,0.0121,1.50619660396627,3.57111778117242
d,0.01215,1.50163827734252,3.57352029584576
d,0.0122,1.50025265718011,3.5736934855615
d,0.01225,1.49686295250015,3.56929936942575
d,0.0123,1.49738934011885,3.57208701279694
d,0.01235,1.49509532397833,3.57149564295822
d,0.0124,1.50313962945662,3.57086913359668
d,0.01245,1.49996304724319,3.57245847049054
d,0.0125,1.4978540377239,3.56986960099011
d,0.01255,1.50220288554179,3.57309649067488
d,0.0126,1.50174905607151,3.57256720241601
d,0.01265,1.50297789240331,3.57208798575903
d,0.0127,1.50304720778419,3.57297928557096
d,0.01275,1.4966264908739,3.57202022189658
d,0.0128,1.50070511859162,3.57222202962855
d,0.01285,1.50122772607205,3.57482042994244
d,0.0129,1.49154517679828,3.57320503738208
d,0.01295,1.49514459476368,3.5704810217791
d,0.013,1.50205777085667,3.56903997017115
d,0.01305,1.50233026379514,3.57020950039575
d,0.0131,1.49824395031682,3.57303069498196
d,0.01315,1.49705125301929,3.57249883018087
d,0.0132,1.5036822209562,3.57156633486985
d,0.01325,1.49600832618659,3.56988187602955
d,0.0133,1.49786885030963,3.57170459203532
d,0.01335,1.49967727294354,3.57080128518454
d,0.0134,1.50234424715013,3.57331535953253
d,0.01345,1.49763342249591,3.57199087795563
d,0.0135,1.50005671871482,3.57331463678624
d,0.01355,1.50586695272547,3.57009064113747
d,0.0136,1.49775412286303,3.56698848774429
d,0.01365,1.50242304610182,3.56979152741388
d,0.0137,1.50073957268939,3.56997223034939
d,0.01375,1.49507588785821,3.5719636836578
d,0.0138,1.49650457847473,3.57470088813095
d,0.01385,1.49926533738629,3.57088420012935
d,0.0139,1.49870229369951,3.57008571461684
d,0.01395,1.49840533162705,3.56854292913186
d,0.014,1.49978308749055,3.56927530912473
d,0.01405,1.50155505538888,3.57564787733331
d,0.0141,1.49541182947043,3.56871855606151
d,0.01415,1.50421469353724,3.57323432837203
d,0.0142,1.4940121107188,3.57443730028465
d,0.01425,1.50083544535772,3.56908664527673
d,0.0143,1.50324316054262,3.57147644623424
d,0.01435,1.49700382424159,3.57194488588707
d,0.0144,1.49657826333107,3.57079492674597
d,0.01445,1.5018439577009,3.5709181608761
d,0.0145,1.50017848880907,3.57094768832211
d,0.01455,1.50081797704903,3.57102421846024
d,0.0146,1.49805776524864,3.5713772004812
d,0.01465,1.50025646644576,3.57187098725011
d,0.0147,1.4955729472947,3.57358475221787
d,0.01475,1.49973688992464,3.56907506359677
d,0.0148,1.4975168977721,3.57438552875855
d,0.01485,1.50372159061261,3.56993128903305
d,0.0149,1.50049887494103,3.56873120296374
d,0.01495,1.50230637047643,3.56853360565151
d,0.015,1.50040019226754,3.57342616561823
d,0.01505,1.4945529724642,3.57314554291339
d,0.0151,1.500826054047,3.57190355104243
d,0.01515,1.49716408573156,3.56979323536042
d,0.0152,1.49856757376528,3.57376741966471
d,0.01525,1.502278841919,3.571030117752
d,0.0153,1.50289265953679,3.56935802838444
d,0.01535,1.49796242433546,3.57274605903372
d,0.0154,1.50607981209155,3.57137188943059
d,0.01545,1.50311323491182,3.57258982663172
d,0.0155,1.5005487946023,3.57090906869109
d,0.01555,1.49968661123163,3.57033541661473
d,0.0156,1.50300023013895,3.57028455123658
d,0.01565,1.49652348060535,3.56754454411033
d,0.0157,1.50243130754735,3.56946521170948
d,0.01575,1.50244355788611,3.57250697639097
d,0.0158,1.50295388357233,3.56998584977898
d,0.01585,1.49515010776204,3.57451680939415
d,0.0159,1.50437435909888,3.57444550275479
d,0.01595,1.50082247043738,3.57138988000334
d,0.016,1.49985923017858,3.57466822441535
d,0.01605,1.50241445032886,3.56854867840593
d,0.0161,1.49917248667238,3.57337479532254
d,0.01615,1.50026421321472,3.57294241242059
d,0.0162,1.50168560503798,3.57377547528373
d,0.01625,1.50069142794067,3.5704038019411
d,0.0163,1.50145863516699,3.5738004696913
d,0.01635,1.49722585741524,3.57238663862349
d,0.0164,1.50246974206387,3.57420774091369
d,0.01645,1.50274736363578,3.57294642460363
d,0.0165,1.49685634459778,3.57104025948628
d,0.01655,1.49698179164031,3.57342956452182
d,0.0166,1.4970073378129,3.57123038590241
d,0.01665,1.49859163409527,3.57133232791925
d,0.0167,1.50184028245734,3.57145210536177
d,0.01675,1.49764951536168,3.56859709945074
d,0.0168,1.49585341709794,3.5698085465502
d,0.01685,1.49892288308476,3.57096809574509
d,0.0169,1.49532085803419,3.56822678941889
d,0.01695,1.50021452696401,3.57010331165283
d,0.017,1.49986839736884,3.57060488677197
d,0.01705,1.4997571853962,3.578028062761
d,0.0171,1.50264479770395,3.57037328815688
d,0.01715,1.50252108187532,3.57483577779808
d,0.0172,1.50058103985235,3.57558399764042
d,0.01725,1.50062474245034,3.57302653732894
d,0.0173,1.49554504341817,3.57001402691551
d,0.01735,1.49791995614588,3.56736553694451
d,0.0174,1.50473924873876,3.56823556457176
d,0.01745,1.50495439762124,3.57168261655364
d,0.0175,1.49935431163678,3.57330553985391
d,0.01755,1.50030548610276,3.57212087843713
d,0.0176,1.50042276089355,3.56988843630784
d,0.01765,1.49994626900025,3.57062190567124
d,0.0177,1.50057248916152,3.57145407687832
d,0.01775,1.49957554251472,3.56853241331853
d,0.0178,1.49988865896594,3.57164465613272
d,0.01785,1.49919069826166,3.57249417786921
d,0.0179,1.50335305451149,3.57139544280828
d,0.01795,1.5022401284083,3.57089244980276
d,0.018,1.49859961374492,3.57237042832328
d,0.01805,1.49898947251827,3.57137161369197
d,0.0181,1.50153527636172,3.57235558749792
d,0.01815,1.49847339373553,3.57500202227037
d,0.0182,1.50661611130289,3.57172031815406
d,0.01825,1.49884561325789,3.57272863547767
d,0.0183,1.499393008412,3.57058236545752
d,0.01835,1.50570667956677,3.5730744331869
d,0.0184,1.49631298386506,3.57177666858528
d,0.01845,1.50465903119966,3.57535196874062
d,0.0185,1.50023172056527,3.57018843566027
d,0.01855,1.50355611365242,3.57478575204257
d,0.0186,1.5034049019432,3.57029152706225
d,0.01865,1.49383023595369,3.56786118023561
d,0.0187,1.49376370618565,3.56875263063104
d,0.01875,1.50031628462565,3.56853079792048
d,0.0188,1.5032967325133,3.57031377023284
d,0.01885,1.49807672821337,3.5675672492289
d,0.0189,1.4985296490149,3.57229226262853
d,0.01895,1.5039965855344,3.57615480131691
d,0.019,1.50055032691002,3.56924156275273
d,0.01905,1.49663414692645,3.56778496326425
d,0.0191,1.49882361823759,3.57256721182463
d,0.01915,1.50210820030642,3.57019125456746
d,0.0192,1.4964404707915,3.57136633752602
d,0.01925,1.50380966930394,3.56997599168516
d,0.0193,1.49685519637,3.57281276926279
d,0.01935,1.49720135571003,3.5756162032346
d,0.0194,1.49807275310391,3.57036407395167
d,0.01945,1.498152097527,3.57032008161365
d,0.0195,1.50176550722581,3.57424146571989
d,0.01955,1.49823568993429,3.57066973870892
d,0.0196,1.50014490210605,3.57248877754275
d,0.01965,1.50109926952721,3.56920295268256
d,0.0197,1.49742587345962,3.57203350913404
d,0.01975,1.49977211514647,3.57068120199816
d,0.0198,1.50082348442193,3.57387578897228
d,0.01985,1.49806340896138,3.57119104514889
d,0.0199,1.49909391108408,3.57088540940909
d,0.01995,1.5010682533514,3.57161540838879
d,0.02,1.50085928775406,3.57262891106902
d,0.02005,1.50351114342569,3.57093661301695
d,0.0201,1.49844957181951,3.57270815868394
d,0.02015,1.50091514849893,3.57461644953309
d,0.0202,1.49884631632699,3.57198871271016
d,0.02025,1.5017006277168,3.57178460317465
d,0.0203,1.50075906479325,3.56997910900168
d,0.02035,1.49954478315454,3.57115637658708
d,0.0204,1.49648583922443,3.57394020350519
d,0.02045,1.50076978594839,3.5712425796426
d,0.0205,1.49934498105405,3.57469405995041
d,0.02055,1.50265111421051,3.56831932340498
d,0.0206,1.50175324868487,3.56994761164001
d,0.02065,1.49990384454533,3.57434780416924
d,0.0207,1.50443982274556,3.57256393714052
d,0.02075,1.49964951420915,3.56841025175653
d,0.0208,1.50086327826763,3.57044692935414
d,0.02085,1.49878992575307,3.57123927537002
d,0.0209,1.50609278342691,3.57030925093697
d,0.02095,1.50480546006042,3.57204626445764
d,0.021,1.50289344737941,3.57283133929547
d,0.02105,1.5062385857277,3.56924806937192
d,0.0211,1.50553775136637,3.5708233811814
d,0.02115,1.50016306869654,3.56818185545993
d,0.0212,1.50001918399552,3.57312436132089
d,0.02125,1.49907116752969,3.57164497921342
d,0.0213,1.49826806106987,3.56818614873777
d,0.02135,1.50228651994558,3.56825603014377
d,0.0214,1.5028606865998,3.57087535706281
d,0.02145,1.49736351445662,3.57387228744453
d,0.0215,1.49983900004658,3.57199482592331
d,0.02155,1.50404585940992,3.57207952541246
d,0.0216,1.49953039656411,3.5709490545737
d,0.02165,1.50535976378807,3.5723103183585
d,0.0217,1.4961640575243,3.57370908811628
d,0.02175,1.4984108864043,3.56685014862398
d,0.0218,1.50009402180859,3.57348916663397
d,0.02185,1.50288162586458,3.57334373392032
d,0.0219,1.49817630891862,3.56882786656627
d,0.02195,1.50371387847502,3.57237494998838
d,0.022,1.50248810644161,3.56881801649706
d,0.02205,1.49989257321494,3.56830523353557
d,0.0221,1.49545819148553,3.57208024904059
d,0.02215,1.49762061434916,3.5672505193481
d,0.0222,1.50227659105799,3.57257994703435
d,0.02225,1.49854404917024,3.57036982677133
d,0.0223,1.49678011690948,3.57032817213463
d,0.02235,1.49955372786297,3.56864510907014
d,0.0224,1.50061217055362,3.57103573320149
d,0.02245,1.50033679593592,3.56945999947398
d,0.0225,1.49616273382958,3.5702761394782
d,0.02255,1.49777481497739,3.5767281190197
d,0.0226,1.49937731011435,3.56900642712045
d,0.02265,1.50200257931006,3.57087648578437
d,0.0227,1.5016645890455,3.57385294371287
d,0.02275,1.49218696201631,3.57142942365428
d,0.0228,1.50156250047452,3.57013187975827
d,0.02285,1.49846073408129,3.56904815413966
d,0.0229,1.50417865905416,3.57229046458031
d,0.02295,1.50228820118115,3.57364459877677
d,0.023,1.503277086575,3.57253469554828
d,0.02305,1.50065624794696,3.57222271520345
d,0.0231,1.49852915307042,3.57159871382521
d,0.02315,1.49889803026103,3.57348328892548
d,0.0232,1.50525521037067,3.57182297638479
d,0.02325,1.49962647804239,3.57251825421549
d,0.0233,1.50389661893822,3.5696388067427
d,0.02335,1.50040387773188,3.57280091424647
d,0.0234,1.49645210901943,3.56755039297119
d,0.02345,1.50255559093593,3.56835468574818
d,0.0235,1.5005410113116,3.57246767732121
d,0.02355,1.49820371513842,3.57029857474299
d,0.0236,1.49603993436564,3.56953040806605
d,0.02365,1.50450162213348,3.5745012407307
d,0.0237,1.49925043820407,3.56922397000103
d,0.02375,1.49865145851311,3.56868445805193
d,0.0238,1.50316258397262,3.56909616522925
d,0.02385,1.49947171810613,3.57129498463212
d,0.0239,1.50571550543708,3.57087186788442
d,0.02395,1.49959918225233,3.57180654061012
d,0.024,1.50005207879257,3.57042494118881
d,0.02405,1.50169558956667,3.57236724807062
d,0.0241,1.50082204589095,3.57156873737094
d,0.02415,1.49895061028847,3.5715726498953
d,0.0242,1.50030099763593,3.57029947324052
d,0.02425,1.49740547232962,3.57698018063
d,0.0243,1.49986434791075,3.57202297588521
d,0.02435,1.49853122312677,3.57023373924981
d,0.0244,1.50348954201179,3.57119383865563
d,0.02445,1.50421135362197,3.5718953791938
d,0.0245,1.50589178898743,3.57127746022887
d,0.02455,1.49927115007968,3.57140049803877
d,0.0246,1.50327790581855,3.57275741353054
d,0.02465,1.50272957062613,3.57365152571252
d,0.0247,1.49875544701413,3.57612657678455
d,0.02475,1.49574231392565,3.57279786145588
d,0.0248,1.50449599847285,3.56954794197225
d,0.02485,1.49888013616461,3.56777981089269
d,0.0249,1.4995143580014,3.56848422405739
d,0.02495,1.50144464286641,3.56814192464089
d,0.025,1.49671634712259,3.57226370639384
d,0.02505,1.49985601428327,3.56911943199065
d,0.0251,1.49952897483002,3.57369870596346
d,0.02515,1.501124445057,3.57243922050266
d,0.0252,1.49861296344122,3.57099226903507
d,0.02525,1.49903085594625,3.57044832165845
d,0.0253,1.5031489245371,3.57209994705071
d,0.02535,1.50129519164232,3.57165947217025
d,0.0254,1.50012622476696,3.57010979914465
d,0.02545,1.4914083006759,3.56837463223446
d,0.0255,1.50502830397756,3.56862598172494
d,0.02555,1.49886632000204,3.5709407730877
d,0.0256,1.49661901228867,3.57146928942138
d,0.02565,1.49760329439304,3.57086001417407
d,0.0257,1.49758602792369,3.56859171458728
d,0.02575,1.49632348268406,3.57060378546677
d,0.0258,1.50180445929586,3.57297552351514
d,0.02585,1.49908141129382,3.5703024396699
d,0.0259,1.4997864685658,3.56910017301014
d,0.02595,1.49941343853506,3.57326212128992
d,0.026,1.49809014743454,3.56970972078074
d,0.02605,1.49773213522388,3.57337493459721
d,0.0261,1.50061248062148,3.57108837222532
d,0.02615,1.49985178096186,3.57216888535791
d,0.0262,1.50407510805079,3.57005056485244
d,0.02625,1.50005945414379,3.57269178213855
d,0.0263,1.49868372463561,3.57046898068234
d,0.02635,1.49673524121565,3.57368664717239
d,0.0264,1.50120614561335,3.57022319765309
d,0.02645,1.49913424163118,3.57578322627467
d,0.0265,1.5034110557596,3.57115182035035
d,0.02655,1.49962122346086,3.5699727818223
d,0.0266,1.50103848764748,3.56700031846746
d,0.02665,1.50530195605184,3.5727434326579
d,0.0267,1.49405144612434,3.56981882362189
d,0.02675,1.49400571924918,3.57456870266808
d,0.0268,1.5002697987294,3.57180811411706
d,0.02685,1.49846931135808,3.56890618678768
d,0.0269,1.4997605828767,3.5725328136714
d,0.02695,1.50346687275252,3.56881015050133
d,0.027,1.49765280048889,3.56846811068248
d,0.02705,1.50406360395281,3.56902020182227
d,0.0271,1.49864280973119,3.57525563465268
d,0.02715,1.49736094006331,3.57083738552664
d,0.0272,1.49950214430313,3.57085529066546
d,0.02725,1.49593638709193,3.57308234233895
d,0.0273,1.50163661532855,3.56931259556675
d,0.02735,1.50117583976703,3.5704794118152
d,0.0274,1.49756071011508,3.57333403172241
d,0.02745,1.50172303391335,3.57172841782074
d,0.0275,1.50113758845929,3.57609840322367
d,0.02755,1.50094717463997,3.5694673752879
d,0.0276,1.49595880225164,3.57098358970645
d,0.02765,1.49880356480584,3.56920440044883
d,0.0277,1.50485218363536,3.56874624744385
d,0.02775,1.49696409413115,3.56832598354547
d,0.0278,1.50312059530355,3.57183401574824
d,0.02785,1.49610806519315,3.5715644174995
d,0.0279,1.49645389263838,3.57171219752681
d,0.02795,1.4982663992662,3.57424868917417
d,0.028,1.49618398109818,3.57201431837807
d,0.02805,1.50180947641551,3.57187544324117
d,0.0281,1.49900702850401,3.56795632139602
d,0.02815,1.50221357057441,3.56928271679648
d,0.0282,1.50366563127746,3.56850547159378
d,0.02825,1.50021981922712,3.57094161753225
d,0.0283,1.50304462099169,3.57061525602527
d,0.02835,1.49872902416195,3.57135785135062
d,0.0284,1.50129854520036,3.57052524186447
d,0.02845,1.49777885978217,3.57126512949439
d,0.0285,1.49919941907176,3.57278689966809
d,0.02855,1.49234751699712,3.57202653315947
d,0.0286,1.50232859589465,3.57226677865036
d,0.02865,1.49575897605589,3.57047241427481
d,0.0287,1.50141737709527,3.5718281397898
d,0.02875,1.49369655743883,3.57096709832053
d,0.0288,1.49721938412523,3.56951613089236
d,0.02885,1.50755346994038,3.57037348197003
d,0.0289,1.50163193821579,3.56864758679389
d,0.02895,1.4983981969776,3.57155391802427
d,0.029,1.49725913231451,3.57022929744169
d,0.02905,1.50469964115338,3.57004945755416
d,0.0291,1.49654220662917,3.57097307164773
d,0.02915,1.4975315367405,3.56886010174332
d,0.0292,1.50244857869917,3.57291946589902
d,0.02925,1.50538109628684,3.57351201379489
d,0.0293,1.49774770936585,3.5688137408048
d,0.02935,1.50351981217718,3.56976105356139
d,0.0294,1.50136317064492,3.57135586556493
d,0.02945,1.50125467285086,3.57200948454328
d,0.0295,1.49502679829346,3.57265778381989
d,0.02955,1.49704706177925,3.57476464534454
d,0.0296,1.50129881055894,3.57157475632088
d,0.02965,1.50737815868903,3.57040566399079
d,0.0297,1.49936620309409,3.56855216026911
d,0.02975,1.50271270681359,3.5659752215206
d,0.0298,1.49948875209317,3.57317920143834
d,0.02985,1.50061044000238,3.57006668242131
d,0.0299,1.5005376920264,3.57183700388268
d,0.02995,1.50256850326208,3.57366252484177
d,0.03,1.50129256418065,3.56944505358698
d,0.03005,1.50115332125291,3.57227215624235
d,0.0301,1.50174670276648,3.57121463426452
d,0.03015,1.49618248338699,3.57138015212844
d,0.0302,1.49997665154406,3.57024674815097
d,0.03025,1.49662573700948,3.57050657161855
d,0.0303,1.49491500185129,3.57172151598638
d,0.03035,1.502437911991,3.57095800236372
d,0.0304,1.50242943257111,3.57484232091649
