case_index,case_name,alpha,feedback_delay_ticks,scope_ref_lag_ticks,gain_vs_control_ref,lag_us_vs_control_ref,gain_vs_scope_ref,lag_us_vs_scope_ref,rmse_vs_scope_ref_a,iq_peak_pos_a,iq_peak_neg_a,vq_abs_max_v,voltage_norm_max
1,ideal_no_extra_delay,0.95,0,0,0.804817308800746,105.208392952895,0.804817308800746,105.208392952895,0.210296715757672,0.292227151128612,-0.294983306510642,0.858902099940383,0.137830107827907
2,scope_ref_lag_1tick,0.95,0,1,0.804817308800746,105.208392952895,0.804588387250213,54.9031160706063,0.146827935795195,0.292227151128612,-0.294983306510642,0.858902099940383,0.137830107827907
3,feedback_delay_1tick,0.95,1,0,1.00213406702602,76.6203073775832,1.00213406702602,76.6203073775832,0.193304323884749,0.338251290307964,-0.338630486488486,0.985018041558024,0.158068239546509
4,feedback_delay_1tick_scope_lag_1tick,0.95,1,1,1.00213406702602,76.6203073775832,1.00184902086467,26.3150304952943,0.119004830438736,0.338251290307964,-0.338630486488486,0.985018041558024,0.158068239546509
5,stronger_filter_scope_lag_1tick,0.5,0,1,0.808470970596086,109.341670358103,0.808241009801101,59.0363934758138,0.150865924691237,0.292664677269131,-0.295305422267897,0.859694695383222,0.137957297545289
