bandwidth_hz,kp_scale,ki_scale,kp,ki,gain_1khz,phase_lag_deg,lag_us,rmse_a,max_abs_error_a,iq_peak_pos_a,iq_peak_neg_a,iq_pp_a,vq_abs_max_v,voltage_norm_max,score
800,0.75,0.7,0.207345115136926,10203.8929388596,0.573843948095475,69.0430939706858,191.786372140794,0.294534031095261,0.546876091294276,0.233105461678079,-0.246876091294276,0.479981552972355,0.76468210319696,0.122710395917094,0.440714277241742
800,0.75,0.85,0.207345115136926,12390.4414257581,0.68459201445901,63.2233732504997,175.620481251388,0.288027944106783,0.574889900545636,0.265519420986825,-0.274889900545636,0.540409321532461,0.81887917659,0.131407532028693,0.414403802536631
800,0.75,1,0.207345115136926,14576.9899126566,0.78047261890238,57.3866159912558,159.407266642377,0.279416184936083,0.591919504764215,0.287272983140569,-0.291919504764215,0.579192487904783,0.851886798245014,0.1367043453118,0.387448847032729
800,0.75,1.15,0.207345115136926,16763.5383995551,0.859967898088295,51.8211116770793,143.947532436331,0.2698552852564,0.599778480590009,0.298997508318725,-0.299778480590009,0.598775988908734,0.86947094785255,0.139526116543512,0.36159016296319
800,0.75,1.3,0.207345115136926,18950.0868864536,0.923571398045276,46.6809454861859,129.669293017183,0.260457559009049,0.604768589273289,0.306666884485403,-0.306684995894176,0.613351880379579,0.889475428113409,0.142736284118591,0.338121837433801
800,0.9,0.7,0.248814138164312,10203.8929388596,0.565377673556899,67.7768795144082,188.269109762245,0.290561335391939,0.545477279251827,0.231724694560337,-0.245477279251827,0.477201973812164,0.761906078937092,0.122264920556052,0.435688887307862
800,0.9,0.85,0.248814138164312,12390.4414257581,0.674748698440168,62.3120143157219,173.088928654783,0.28430454283924,0.573330888762931,0.263748112759187,-0.273330888762931,0.537079001522118,0.8159835717519,0.130942867281581,0.410297694468806
800,0.9,1,0.248814138164312,14576.9899126566,0.769971849720364,56.7342376921153,157.59510470032,0.27600304718517,0.590638095118121,0.285603586678845,-0.290638095118121,0.576241681796966,0.849412962695849,0.136307362907736,0.384107218751307
800,0.9,1.15,0.248814138164312,16763.5383995551,0.849427530784496,51.359333335641,142.664814821225,0.266745722213373,0.599036312132299,0.297806311364069,-0.299036312132299,0.596842623496369,0.867383905744761,0.139191203823217,0.358841969138385
800,0.9,1.3,0.248814138164312,18950.0868864536,0.913442423737241,46.3585912592182,128.773864608939,0.257589504471674,0.603592848135011,0.304485421790875,-0.304494885093884,0.608980306884758,0.88330020081859,0.141745330383624,0.335783148986777
